id,x0,x1,x2,fitness-3.5,fitness-3,fitness-2.5,fitness-5,fitness-4.5,fitness-4,fitness-2,fitness-1.5
138,0.663789,3.65323,-2.23043,-603.936,NA,NA,NA,NA,NA,NA,NA
263,1.04784,2.97655,-1.93126,NA,-664.019,NA,NA,NA,NA,NA,NA
531,-0.420975,2.0614,-2.22247,NA,NA,-414.607,NA,NA,NA,NA,NA
660,-0.581386,2.24236,-2.17688,NA,-588.161,NA,NA,NA,NA,NA,NA
908,-1.12363,4.07952,-3.21233,NA,NA,NA,-176.37,NA,NA,NA,NA
1078,-0.432607,4.26649,-3.47887,NA,NA,NA,NA,-205.525,NA,NA,NA
1383,-0.50274,2.78592,-4.52961,NA,NA,NA,-202.091,NA,NA,NA,NA
1414,-1.65904,3.04086,-3.25142,NA,NA,NA,-138.613,NA,NA,NA,NA
1774,-2.21275,3.14499,-3.45757,NA,NA,NA,-129.636,NA,NA,NA,NA
1995,-1.77808,3.82536,-4.85098,NA,NA,NA,NA,-20.962,NA,NA,NA
2121,-2.35682,4.17972,-4.61274,NA,NA,NA,NA,-56.102,NA,NA,NA
2203,-1.72903,5,-4.89032,-82.425,NA,NA,NA,NA,NA,NA,NA
2561,-1.19782,4.25368,-4.15718,-132.794,NA,NA,NA,NA,NA,NA,NA
2706,-2.44252,5,-5,NA,NA,NA,NA,NA,-81.838,NA,NA
2912,-1.75305,5,-5,NA,NA,NA,NA,-73.178,NA,NA,NA
3062,-2.70895,4.86917,-5,NA,NA,-152.932,NA,NA,NA,NA,NA
3242,-3.21106,3.8964,-5,NA,-135.837,NA,NA,NA,NA,NA,NA
3429,-3.28406,2.30153,-4.06783,NA,NA,NA,-164.997,NA,NA,NA,NA
3672,-4.28487,3.35383,-4.32496,NA,NA,NA,-192.2,NA,NA,NA,NA
3858,-3.11985,5,-5,NA,NA,NA,-111.632,NA,NA,NA,NA
4164,-2.61623,5,-5,NA,NA,NA,-85.992,NA,NA,NA,NA
4343,-2.48859,3.9534,-5,NA,-102.938,NA,NA,NA,NA,NA,NA
4518,-3.25044,4.87713,-5,NA,-163.106,NA,NA,NA,NA,NA,NA
4644,-3.73307,4.37928,-5,NA,NA,NA,NA,-126.129,NA,NA,NA
4921,-2.26096,5,-4.35236,NA,NA,NA,-91.903,NA,NA,NA,NA
5034,-2.12376,5,-4.63858,NA,NA,NA,-80.009,NA,NA,NA,NA
5302,-2.68874,5,-4.62469,NA,NA,NA,-93.306,NA,NA,NA,NA
5526,-2.44954,5,-4.13189,NA,NA,NA,-97.97,NA,NA,NA,NA
5670,-4.1004,3.81881,-3.32424,NA,NA,NA,-207.503,NA,NA,NA,NA
5949,-3.59077,4.08915,-4.6212,NA,NA,NA,NA,-113.313,NA,NA,NA
6005,-2.3569,3.52478,-5,-100.658,NA,NA,NA,NA,NA,NA,NA
6267,-1.83108,3.48694,-5,-89.857,NA,NA,NA,NA,NA,NA,NA
6531,-3.94038,4.0421,-4.51063,NA,NA,NA,NA,-141.814,NA,NA,NA
6676,-4.07378,4.38475,-4.20247,-191.417,NA,NA,NA,NA,NA,NA,NA
6953,-2.32058,5,-5,NA,NA,-185.098,NA,NA,NA,NA,NA
7083,-2.88737,3.39918,-4.87659,-72.932,NA,NA,NA,NA,NA,NA,NA
7346,-1.57235,4.73902,-4.45912,NA,NA,NA,-70.88,NA,NA,NA,NA
7414,-0.543555,4.51941,-5,NA,NA,NA,-129.943,NA,NA,NA,NA
7663,-1.46156,4.42992,-5,NA,NA,NA,-64.085,NA,NA,NA,NA
7873,-1.31304,4.54662,-3.33082,NA,NA,NA,-149.967,NA,NA,NA,NA
8111,-0.812945,2.85131,-3.83132,NA,NA,NA,-129.711,NA,NA,NA,NA
8347,-1.27431,4.81934,-5,-125.976,NA,NA,NA,NA,NA,NA,NA
8557,-2.87439,3.8173,-5,NA,NA,NA,NA,-63.168,NA,NA,NA
8627,-1.65989,3.61574,-5,NA,NA,NA,-45.101,NA,NA,NA,NA
8848,-1.66725,2.58097,-4.44385,NA,NA,NA,NA,-127.393,NA,NA,NA
9069,-2.5133,3.30401,-5,NA,NA,NA,-74.165,NA,NA,NA,NA
9287,-2.08739,1.46693,-5,NA,NA,NA,-255.395,NA,NA,NA,NA
9549,-1.55152,4.15141,-5,NA,NA,NA,NA,-33.697,NA,NA,NA
9601,-1.88961,4.33512,-5,NA,NA,NA,-55.982,NA,NA,NA,NA
9942,-2.40528,4.29548,-4.9055,-60.801,NA,NA,NA,NA,NA,NA,NA
10053,-2.49408,4.52928,-5,-95.453,NA,NA,NA,NA,NA,NA,NA
10372,-2.68344,4.50802,-4.17372,-104.374,NA,NA,NA,NA,NA,NA,NA
10489,-3.14661,4.1519,-3.26846,NA,NA,NA,-142.362,NA,NA,NA,NA
10644,-2.70255,5,-4.78105,NA,NA,NA,NA,NA,-88.539,NA,NA
10814,-2.48525,4.39278,-5,NA,NA,NA,-64.498,NA,NA,NA,NA
11097,-1.8459,5,-5,NA,NA,NA,-76.553,NA,NA,NA,NA
11291,-1.30185,5,-4.39239,NA,NA,NA,-87.466,NA,NA,NA,NA
11549,-1.40978,5,-5,NA,NA,NA,-91.617,NA,NA,NA,NA
11656,-1.95307,5,-5,NA,NA,NA,NA,NA,-93.71,NA,NA
11923,-2.13264,5,-5,NA,NA,NA,-75.646,NA,NA,NA,NA
12094,-1.58879,5,-5,NA,NA,NA,-76.937,NA,NA,NA,NA
12223,-0.214298,5,-4.73697,NA,NA,NA,-184.522,NA,NA,NA,NA
12513,-0.34879,4.9422,-5,NA,NA,NA,-148.981,NA,NA,NA,NA
12659,-1.6658,4.75986,-4.24363,NA,NA,NA,-61.712,NA,NA,NA,NA
12863,-2.00109,5,-2.62416,NA,NA,NA,NA,-202.455,NA,NA,NA
13160,-2.30695,4.89103,-2.93869,-210.566,NA,NA,NA,NA,NA,NA,NA
13352,-1.30927,5,-3.37219,NA,NA,NA,NA,NA,-162.812,NA,NA
13446,-1.83367,5,-3.21403,NA,NA,NA,-144.12,NA,NA,NA,NA
13728,-2.94167,4.51495,-3.70784,NA,NA,NA,-117.426,NA,NA,NA,NA
13944,-1.67942,5,-3.97521,NA,NA,NA,-96.262,NA,NA,NA,NA
14016,-3.9076,4.68158,-5,NA,NA,NA,NA,NA,-151.398,NA,NA
14359,-3.92801,5,-5,NA,NA,NA,-173.093,NA,NA,NA,NA
14490,-2.99961,5,-5,NA,NA,NA,-102.926,NA,NA,NA,NA
14750,-2.87464,4.54885,-5,NA,NA,NA,NA,-76.671,NA,NA,NA
14966,-2.45926,5,-5,NA,NA,NA,-82.213,NA,NA,NA,NA
15161,-2.40307,5,-4.45447,NA,NA,NA,-90.039,NA,NA,NA,NA
15233,-3.3264,5,-4.37623,NA,NA,NA,-127.402,NA,NA,NA,NA
15422,-2.63917,5,-5,NA,NA,NA,NA,NA,-83.941,NA,NA
15685,-4.95188,4.23511,-5,NA,NA,NA,-256.666,NA,NA,NA,NA
15960,-2.78266,4.60009,-5,NA,NA,NA,NA,-75.376,NA,NA,NA
16072,-2.29312,5,-4.9225,NA,NA,NA,NA,-83.233,NA,NA,NA
16292,-2.38785,5,-4.44526,-109.83,NA,NA,NA,NA,NA,NA,NA
16474,-2.12073,4.77011,-5,NA,NA,NA,NA,NA,-69.8,NA,NA
16659,-2.01986,4.8803,-4.76157,NA,NA,NA,NA,-74.982,NA,NA,NA
16827,-1.85606,5,-5,NA,NA,NA,-77.063,NA,NA,NA,NA
17062,-1.71931,5,-5,NA,NA,NA,NA,NA,-82.069,NA,NA
17248,-1.85657,5,-5,NA,NA,NA,-77.089,NA,NA,NA,NA
17526,-2.15633,4.74473,-3.70662,NA,NA,NA,-99.572,NA,NA,NA,NA
