id,x0,x1,x2,fitness1,fitness-1.5,fitness-1
139,4.89171,-1.85602,-1.34359,1814.081,NA,NA
212,4.89171,-1.96475,-1.34359,3077.603,NA,NA
220,4.89171,-1.96475,-1.34359,NA,11471.889,NA
260,4.89171,-0.850901,-1.34359,NA,27073.133,NA
298,4.89171,-0.850901,-1.37157,NA,28477.944,NA
359,4.89171,-0.850901,-1.38469,NA,28937.486,NA
390,4.89171,-0.850901,-1.44048,NA,29459.041,NA
474,4.89171,-0.849807,-1.44048,NA,29498.353,NA
492,4.89171,-0.793664,-1.44048,NA,30363.974,NA
565,4.89171,-0.793664,-1.4403,NA,30366.045,NA
622,4.86242,-0.793664,-1.4403,NA,30797.393,NA
789,4.86242,-0.793664,-1.41472,NA,30843.787,NA
1093,4.86242,-0.793664,-1.41472,NA,30848.865,NA
1381,4.86242,-0.793664,-0.690113,NA,NA,33754.455
1425,4.86242,-0.793664,-0.769631,NA,NA,38699.639
1456,4.86242,-0.796022,-0.769631,NA,NA,38711.461
1751,4.86242,-0.796022,-0.806033,NA,NA,39129.775
1792,4.86242,-0.796022,-0.806033,NA,NA,39148.139
1880,4.86242,-0.796022,-0.804714,NA,NA,39154.322
1966,4.86242,-0.796022,-0.804714,NA,NA,39221.623
2193,4.86242,-0.800495,-0.804714,NA,NA,39230.184
2440,4.86186,-0.800495,-0.804714,NA,NA,39232.428
2619,4.86186,-0.800495,-0.804714,NA,NA,39261.548
2641,4.86186,-0.800495,-0.804714,NA,NA,39286.877
2820,4.86186,-0.800495,-0.796802,NA,NA,39290.101
3064,4.86186,-0.800495,-0.803753,NA,NA,39290.377
4288,4.86186,-0.800495,-0.797955,NA,NA,39293.254
4306,4.86186,-0.800495,-0.797955,NA,NA,39293.718
4654,4.86186,-0.800495,-0.800253,NA,NA,39296.318
5529,4.86157,-0.800495,-0.800253,NA,NA,39297.361
5832,4.85725,-0.800495,-0.800253,NA,NA,39303.102
8104,4.85725,0.357852,-0.800253,NA,NA,10287.748
