id,x0,x1,x2,fitness5,fitness4,fitness4.5,fitness3.5
58,1.85143,4.78778,0.460194,961.539,NA,NA,NA
357,0.91018,5,-2.15845,1182.97,NA,NA,NA
413,1.37539,4.9585,-0.381167,1183.751,NA,NA,NA
656,1.00557,5,-0.70105,2010.707,NA,NA,NA
831,1.00271,4.62386,-0.862546,1319.04,NA,NA,NA
1034,-0.888209,5,-2.43369,3807.831,NA,NA,NA
1263,-1.79483,4.53533,-1.49678,145.269,NA,NA,NA
1427,-1.44057,4.84716,-0.90093,NA,7504.154,NA,NA
1643,-0.671331,5,-1.27855,10404.321,NA,NA,NA
1830,-1.2839,5,-1.90587,4486.795,NA,NA,NA
2175,-1.43698,4.64691,-0.802558,12329.346,NA,NA,NA
2232,-1.64374,5,-0.744107,11027.156,NA,NA,NA
2451,-1.91348,4.29109,-0.89487,3961.162,NA,NA,NA
2736,-1.39693,5,-0.686002,14691.848,NA,NA,NA
2802,-0.186416,4.84648,-0.548088,5770.796,NA,NA,NA
3096,-0.610248,4.89464,-1.39983,13995.883,NA,NA,NA
3257,-0.740804,3.31687,-0.582925,3541.087,NA,NA,NA
3567,-0.599216,4.14047,-0.885715,4663.721,NA,NA,NA
3637,-1.47439,5,-0.820508,16809.198,NA,NA,NA
3971,-1.98037,4.85959,-0.37274,3302.343,NA,NA,NA
4167,-3.09979,4.31693,0.392063,618.773,NA,NA,NA
4385,-3.60805,4.75061,-0.887188,2760.629,NA,NA,NA
4546,-3.50251,5,-0.585176,2100.093,NA,NA,NA
4656,-1.95294,5,-1.31261,5884.132,NA,NA,NA
4833,-0.824853,4.99629,-1.49998,16387.115,NA,NA,NA
5175,0.273998,5,-1.29624,3342.321,NA,NA,NA
5309,-0.0635308,5,-0.862419,10573.51,NA,NA,NA
5543,-0.598029,5,-1.42118,9981.405,NA,NA,NA
5610,-1.64768,5,-1.96733,3508.628,NA,NA,NA
5885,-1.47953,5,-2.96345,4056.438,NA,NA,NA
6008,-1.04994,5,-1.70538,1540.116,NA,NA,NA
6372,-1.21964,4.95624,-2.06187,NA,NA,4065.882,NA
6543,-0.145836,5,-0.970509,7461.856,NA,NA,NA
6760,-0.209616,4.60236,-0.627436,4905.329,NA,NA,NA
6900,-0.948179,4.88,0.0367443,5536.583,NA,NA,NA
7150,-0.624019,4.13592,-0.842755,5613.403,NA,NA,NA
7275,0.366134,4.88543,-1.20303,2480.995,NA,NA,NA
7488,1.48401,5,-1.39672,1719.331,NA,NA,NA
7653,3.34669,5,-1.31006,NA,NA,2905.572,NA
7863,5,4.64057,-0.601846,5197.744,NA,NA,NA
8129,5,3.72536,-0.69674,4051.703,NA,NA,NA
8355,5,4.89794,-0.548641,6467.506,NA,NA,NA
8547,5,4.63566,-0.600857,4972.72,NA,NA,NA
8764,4.95172,5,-1.90282,5226.18,NA,NA,NA
8973,4.35297,4.22116,-1.4353,NA,1894.784,NA,NA
9181,4.91725,5,-0.629346,11401.548,NA,NA,NA
9305,4.48233,5,-0.181885,1059.971,NA,NA,NA
9553,5,5,-0.662576,10310.699,NA,NA,NA
9612,5,5,-0.944534,9935.868,NA,NA,NA
9803,5,5,-0.884686,11963.466,NA,NA,NA
10125,5,4.64079,-1.02044,4190.754,NA,NA,NA
10283,5,5,-1.02774,6735.213,NA,NA,NA
10422,5,5,-1.04008,5048.328,NA,NA,NA
10664,5,5,-0.944665,12760.429,NA,NA,NA
10843,4.32168,5,-1.3954,7033.473,NA,NA,NA
11014,4.74366,5,-0.831499,14577.139,NA,NA,NA
11354,5,5,-1.02525,6802.135,NA,NA,NA
11527,5,4.11712,-1.24068,2636.104,NA,NA,NA
11764,4.71172,5,-0.711811,11999.185,NA,NA,NA
11889,3.39453,4.83767,-0.0900569,2443.78,NA,NA,NA
12025,4.96661,5,-0.742792,14265.039,NA,NA,NA
12296,5,5,-0.862893,12453.189,NA,NA,NA
12449,5,5,-0.958411,9336.201,NA,NA,NA
12652,5,5,-0.741078,12524.707,NA,NA,NA
12837,5,5,-0.79975,NA,NA,13987.371,NA
13177,5,5,-0.707935,11782.632,NA,NA,NA
13295,5,5,-0.76267,12840.856,NA,NA,NA
13492,4.85075,5,-0.855117,16777.064,NA,NA,NA
13790,4.90151,5,-0.789042,16967.925,NA,NA,NA
13904,5,5,-0.8839,11983.549,NA,NA,NA
14004,5,5,-0.828653,12933.698,NA,NA,NA
14387,5,5,-0.644846,9610.077,NA,NA,NA
14564,4.71301,5,-1.98568,5587.267,NA,NA,NA
14695,5,5,-0.942543,10018.203,NA,NA,NA
14827,3.90733,5,-0.777087,2841.876,NA,NA,NA
15136,4.85533,5,-0.746103,16808.964,NA,NA,NA
15201,5,5,-1.55195,NA,NA,5984.27,NA
15479,5,5,-2.18881,2799.022,NA,NA,NA
15623,4.92886,5,-1.01178,8315.84,NA,NA,NA
15960,4.35629,4.88252,-1.32377,7489.997,NA,NA,NA
16129,4.77982,4.80057,-1.42007,NA,10127.494,NA,NA
16202,4.76235,4.29714,-1.40783,10203.32,NA,NA,NA
16581,5,4.38066,-1.35783,5607.435,NA,NA,NA
16732,5,4.40505,-1.25687,3311.063,NA,NA,NA
16878,5,5,-0.715175,11970.235,NA,NA,NA
17135,5,5,-0.663019,10327.371,NA,NA,NA
17296,4.23162,5,-0.282443,4163.076,NA,NA,NA
17589,4.16831,4.97426,-0.13242,4121.79,NA,NA,NA
17663,4.36715,4.19313,-0.834194,3908.712,NA,NA,NA
17997,5,3.88348,-0.707451,3143.162,NA,NA,NA
18165,5,3.24081,-1.634,2278.971,NA,NA,NA
18392,5,4.07143,-0.270892,2164.323,NA,NA,NA
18538,5,4.25946,-1.49156,NA,NA,3471.771,NA
18750,5,5,-0.869587,NA,NA,9601.025,NA
18976,5,5,0.0141887,NA,NA,1910.464,NA
19028,4.70303,5,0.238596,2631.632,NA,NA,NA
19378,5,4.85499,-2.04038,7255.387,NA,NA,NA
19403,5,4.93927,-0.756567,20612.813,NA,NA,NA
19742,5,4.6612,-1.91737,NA,NA,3441.185,NA
19919,5,5,-2.20657,2332.636,NA,NA,NA
20011,5,5,-2.15756,3571.652,NA,NA,NA
20370,3.84369,5,-0.783732,4270.253,NA,NA,NA
20450,5,5,-0.859673,12513.579,NA,NA,NA
20711,5,5,-0.926435,10648.52,NA,NA,NA
20822,5,5,-0.639081,12335.553,NA,NA,NA
21088,5,4.7132,-0.799341,13262.29,NA,NA,NA
21350,4.88244,5,-1.74586,NA,808.894,NA,NA
21559,5,5,-2.13884,3994.027,NA,NA,NA
21756,5,5,-1.89152,4144.996,NA,NA,NA
21997,5,5,-0.729756,12305.26,NA,NA,NA
22176,5,5,-0.641751,9481.382,NA,NA,NA
22257,5,4.23975,0.0250185,2001.164,NA,NA,NA
22433,5,4.82245,-0.66359,13580.334,NA,NA,NA
22615,5,5,-0.712007,11889.85,NA,NA,NA
22903,5,5,-0.850726,NA,NA,12080.311,NA
23026,4.98603,4.86846,-0.773562,18288.049,NA,NA,NA
23377,5,5,-0.569645,6057.009,NA,NA,NA
23589,5,4.68713,-0.659381,9205.116,NA,NA,NA
23625,5,5,-0.581506,6665.831,NA,NA,NA
23976,5,5,-0.780856,12999.673,NA,NA,NA
24170,5,4.61545,-1.89869,2356.262,NA,NA,NA
24320,5,4.84189,-1.43385,NA,NA,6819.263,NA
24583,5,5,-0.906721,NA,NA,8496.029,NA
24739,4.59796,5,-0.717729,5451.389,NA,NA,NA
24875,5,5,-0.730558,12321.991,NA,NA,NA
25176,5,5,-1.93847,5057.564,NA,NA,NA
25275,5,5,-0.813202,13032.331,NA,NA,NA
25450,5,5,-0.870185,12304.953,NA,NA,NA
25792,5,5,-2.09241,4862.237,NA,NA,NA
25908,5,5,-2.1142,4490.301,NA,NA,NA
26080,4.68867,4.74885,-0.810907,13640.297,NA,NA,NA
26265,5,5,-0.589373,7061.719,NA,NA,NA
26568,4.19471,5,-1.24447,4754.643,NA,NA,NA
26646,5,5,-1.0189,6263.716,NA,NA,NA
26924,5,5,-0.734294,12397.56,NA,NA,NA
27061,5,5,-2.86581,2151.474,NA,NA,NA
27387,5,5,-2.95848,3131.419,NA,NA,NA
27595,4.92884,5,-3.05007,3898.472,NA,NA,NA
27624,4.90017,5,-0.871087,20505.439,NA,NA,NA
27815,5,5,-0.588949,7040.558,NA,NA,NA
28191,5,4.92109,0.339961,4381.735,NA,NA,NA
28261,4.9508,5,0.898191,NA,2157.868,NA,NA
28523,5,5,-0.543736,6249.331,NA,NA,NA
28790,5,5,-1.07473,3477.333,NA,NA,NA
28880,4.99545,5,-0.763854,13117.292,NA,NA,NA
29195,5,5,-0.708318,11792.902,NA,NA,NA
29383,5,4.85698,-2.0075,7402.629,NA,NA,NA
29519,5,5,-2.0196,5537.594,NA,NA,NA
29767,4.27419,5,-1.47206,7202.751,NA,NA,NA
29816,5,5,-1.05356,4247.93,NA,NA,NA
30154,5,4.78296,-0.815753,16179.992,NA,NA,NA
30236,5,5,-1.49284,NA,NA,5569.183,NA
30463,4.78968,5,-1.04006,6350.914,NA,NA,NA
30718,5,5,-0.693147,11357.333,NA,NA,NA
30997,5,4.925,0.139511,583.215,NA,NA,NA
31163,4.83013,4.95963,-0.887305,18224.496,NA,NA,NA
31215,5,4.8502,-1.32146,NA,NA,3774.577,NA
31482,5,4.62048,-0.88766,6808.155,NA,NA,NA
