id,x0,x1,x2,fitness5,fitness3.5,fitness4.5,fitness3,fitness2,fitness1.5,fitness0.5,fitness1,fitness0,fitness-1.5,fitness-0.5,fitness-4,fitness-3,fitness-2.5,fitness-3.5,fitness-5,fitness-4.5,fitness-1,fitness-2,fitness2.5,fitness4
58,1.85143,4.78778,0.460194,961.539,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
301,2.94353,2.62778,0.211399,NA,-2.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
492,1.73288,2.51849,-0.616902,NA,NA,47.959,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
729,0.946485,2.75646,-1.05544,312.578,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
923,0.0431729,2.08961,0.647965,NA,NA,3.081,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1169,0.673526,3.07216,-0.177066,NA,NA,85.238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1315,-0.491638,3.37152,-0.239414,NA,-177.614,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1597,-1.18833,1.67105,0.670107,NA,NA,NA,46.616,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1683,-1.69796,2.858,1.35266,NA,NA,NA,NA,62.032,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1969,-2.67768,1.61819,1.10728,NA,NA,NA,NA,NA,1.266,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2050,-2.51132,-0.0924205,1.95142,NA,NA,NA,NA,NA,NA,88.261,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2393,-3.8897,0.706143,2.43914,NA,NA,NA,NA,34.402,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2533,-3.89916,1.74718,2.03552,NA,NA,NA,NA,NA,-1.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2655,-3.48959,1.0748,3.50691,NA,NA,NA,NA,NA,-1.062,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2912,-2.80012,2.70279,3.09629,NA,NA,NA,NA,NA,NA,NA,-15.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3007,-3.0144,4.0308,4.14375,NA,NA,NA,NA,NA,NA,14.262,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3361,-2.2085,5,3.67164,NA,NA,NA,NA,NA,NA,195.535,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3437,-2.70019,5,3.05468,NA,NA,NA,NA,NA,NA,NA,33.426,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3625,-2.25805,5,5,NA,NA,NA,NA,216.599,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3846,-1.29489,5,5,NA,NA,NA,NA,NA,NA,NA,NA,483.213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4192,0.315397,4.99426,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,4653.717,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4265,0.0627537,5,4.87668,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2693.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4476,0.535825,5,4.31545,NA,NA,NA,NA,NA,NA,NA,NA,-362.432,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4796,-0.427966,5,3.90342,NA,NA,NA,NA,NA,NA,NA,NA,-281.588,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4868,0.356671,5,3.15448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54.433,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5023,0.0218449,3.81947,3.37208,NA,NA,NA,NA,NA,NA,NA,NA,NA,450.525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5275,-0.189216,3.68159,3.69996,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,44.322,NA,NA,NA,NA,NA,NA,NA,NA,NA
5560,-0.995924,2.8753,3.00793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.776,NA,NA,NA,NA,NA,NA,NA,NA
5617,-2.41086,2.15942,4.09453,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.414,NA,NA,NA,NA,NA,NA,NA,NA
