id,x0,x1,x2,fitness-2.5,fitness-0.5,fitness-1,fitness-1.5,fitness-2,fitness0,fitness1.5,fitness0.5,fitness1,fitness-3,fitness-5,fitness-4.5,fitness3,fitness4.5,fitness3.5,fitness5,fitness4
85,3.49471,3.23683,4.48412,13.255,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
343,2.6401,4.91906,5,NA,2137.115,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
481,4.05883,4.24168,4.85567,NA,NA,535.009,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
761,5,4.39565,5,NA,NA,NA,1622.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
926,5,4.97697,4.64885,NA,2803.276,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1198,5,5,4.85959,NA,16628.859,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1352,5,3.90231,4.89726,NA,NA,NA,NA,1515.144,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1529,5,5,4.46797,NA,NA,NA,1063.309,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1769,5,5,4.59034,NA,NA,NA,NA,749.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1825,4.94277,5,5,NA,NA,NA,NA,6244.213,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2194,5,5,5,NA,NA,2554.352,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2258,5,5,5,NA,NA,NA,NA,4384.556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2576,4.95648,5,5,NA,NA,NA,NA,3839.79,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2734,5,5,5,NA,NA,NA,NA,5533.623,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2895,4.67949,5,5,NA,NA,10639.847,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3026,3.73018,5,5,NA,NA,4641.945,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3370,4.79981,5,5,NA,NA,16582.308,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3401,5,4.40958,4.53067,NA,NA,NA,NA,NA,274.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3632,5,5,3.55127,NA,NA,NA,NA,NA,NA,106.555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3853,4.8051,5,3.17963,NA,NA,NA,NA,NA,1841.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4107,5,4.71387,4.04737,NA,NA,NA,NA,NA,1363.772,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4239,5,5,4.64649,NA,NA,NA,NA,NA,NA,NA,2404.789,NA,NA,NA,NA,NA,NA,NA,NA,NA
4471,3.8824,5,4.73959,NA,NA,NA,NA,NA,NA,NA,1009.772,NA,NA,NA,NA,NA,NA,NA,NA,NA
4794,5,5,4.59212,NA,NA,NA,NA,NA,NA,NA,1460.394,NA,NA,NA,NA,NA,NA,NA,NA,NA
4993,5,5,5,NA,10315.821,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5086,3.76684,4.34927,5,NA,NA,NA,NA,NA,NA,NA,NA,674.554,NA,NA,NA,NA,NA,NA,NA,NA
5241,4.99951,5,5,NA,5976.02,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5566,5,5,5,NA,NA,13049.551,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5750,5,5,5,NA,NA,2106.283,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5891,5,5,5,NA,NA,12923.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6029,5,3.87413,5,NA,NA,NA,NA,1268.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6217,5,4.24174,5,NA,NA,NA,7054.759,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6477,5,5,5,NA,11252.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6725,5,4.45593,4.7734,NA,NA,NA,NA,NA,1280.491,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6881,5,5,4.96674,NA,10786.966,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7198,5,4.80932,5,NA,NA,NA,NA,4871.254,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7354,4.0345,4.97269,4.18518,NA,NA,788.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7578,5,4.18381,5,NA,NA,NA,4556.483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7753,4.6324,5,5,NA,NA,NA,NA,1186.215,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7810,5,5,4.46216,NA,NA,NA,2605.922,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8114,5,3.58572,5,NA,NA,1619.191,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8262,4.97884,4.09755,5,NA,NA,NA,NA,NA,944.627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8597,5,5,3.69649,NA,NA,3465.448,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8696,5,5,2.85195,NA,NA,3076.15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
8808,5,5,4.37558,NA,NA,NA,3993.732,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9064,5,4.09044,5,NA,NA,NA,3580.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9294,5,5,5,NA,NA,3181.349,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9600,3.80513,5,3.63507,NA,NA,NA,NA,NA,NA,NA,286.759,NA,NA,NA,NA,NA,NA,NA,NA,NA
9608,4.41364,4.77282,4.85908,NA,NA,NA,NA,NA,5060.555,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
9974,4.73731,5,5,NA,NA,4640.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10160,5,4.62918,4.69538,NA,NA,NA,NA,1153.271,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10218,5,5,3.25281,NA,NA,NA,1874.083,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10510,4.35737,5,5,NA,NA,NA,4220.77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10652,5,4.6828,4.90508,NA,13665.076,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10892,4.73872,5,4.96321,NA,NA,NA,NA,5063.05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11110,4.16101,5,4.73357,NA,NA,NA,5460.753,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11198,5,4.82863,5,NA,16549.373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11460,5,5,5,NA,NA,NA,NA,NA,NA,NA,3425.472,NA,NA,NA,NA,NA,NA,NA,NA,NA
11758,5,5,5,NA,10789.545,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
11947,4.81471,5,5,NA,14511.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12014,5,4.28611,5,NA,NA,NA,NA,NA,4835.541,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12298,4.57309,4.76604,5,NA,NA,4991.854,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12405,4.85288,5,5,NA,NA,NA,NA,7252.818,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12644,5,5,4.9017,NA,NA,16868.404,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
12948,4.88129,5,5,NA,11823.99,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13120,4.87617,5,4.86451,NA,11823.779,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13319,5,5,3.70634,NA,NA,4319.053,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13577,4.76385,5,2.73136,NA,NA,2666.466,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13638,5,5,4.10515,NA,NA,NA,NA,NA,2655.09,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
13898,5,5,4.84054,NA,NA,NA,NA,7323.94,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14180,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,1745.837,NA,NA,NA,NA,NA,NA,NA
14281,3.3068,5,4.70902,NA,NA,NA,2026.761,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14506,2.36352,5,5,NA,NA,NA,3167.483,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14678,3.38495,5,4.67802,NA,NA,NA,2738.877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
14901,3.70414,5,4.44481,NA,NA,NA,1052.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15037,4.23273,5,4.94682,NA,NA,NA,NA,NA,3483.048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
