id,x0,x1,x2,fitness8,fitness7.5,fitness6.5,fitness9,fitness7,fitness8.5,fitness9.5,fitness6,fitness5
131,9.78942,7.24267,8.22029,0.467,NA,NA,NA,NA,NA,NA,NA,NA
387,8.1835,8.53051,8.12692,NA,0.803,NA,NA,NA,NA,NA,NA,NA
484,8.86777,8.00774,7.74839,NA,0.763,NA,NA,NA,NA,NA,NA,NA
772,8.96474,7.73826,7.31811,NA,NA,0.429,NA,NA,NA,NA,NA,NA
996,8.59734,7.97435,7.71558,NA,0.835,NA,NA,NA,NA,NA,NA,NA
1200,7.20816,8.4723,6.43954,0.526,NA,NA,NA,NA,NA,NA,NA,NA
1222,7.41299,8.50585,6.97264,0.753,NA,NA,NA,NA,NA,NA,NA,NA
1559,7.03183,8.4598,6.64727,0.573,NA,NA,NA,NA,NA,NA,NA,NA
1683,7.0846,7.85764,8.30213,NA,NA,NA,0.637,NA,NA,NA,NA,NA
1949,9.17963,7.09446,8.45779,0.523,NA,NA,NA,NA,NA,NA,NA,NA
2148,8.75489,7.50553,7.53217,0.805,NA,NA,NA,NA,NA,NA,NA,NA
2301,7.2946,7.59912,7.78375,0.936,NA,NA,NA,NA,NA,NA,NA,NA
2483,8.31547,7.85189,7.41272,NA,0.901,NA,NA,NA,NA,NA,NA,NA
2788,8.20824,8.0528,8.14575,NA,NA,NA,NA,0.841,NA,NA,NA,NA
2839,8.04332,7.24429,8.98819,NA,0.688,NA,NA,NA,NA,NA,NA,NA
3193,7.64306,8.19046,8.28491,NA,NA,NA,0.663,NA,NA,NA,NA,NA
3306,7.91817,7.91265,8.06919,NA,NA,NA,NA,NA,0.795,NA,NA,NA
3548,8.518,7.60549,8.82085,NA,NA,NA,NA,NA,0.526,NA,NA,NA
3641,8.79724,8.05374,7.56222,NA,NA,NA,0.526,NA,NA,NA,NA,NA
3892,6.75859,8.55591,7.46121,0.668,NA,NA,NA,NA,NA,NA,NA,NA
4004,7.7749,7.76728,7.78004,0.971,NA,NA,NA,NA,NA,NA,NA,NA
4240,8.525,7.77119,7.04645,NA,NA,NA,NA,0.696,NA,NA,NA,NA
4485,8.0137,7.82555,6.65679,0.731,NA,NA,NA,NA,NA,NA,NA,NA
4632,6.78169,8.48028,7.62638,0.667,NA,NA,NA,NA,NA,NA,NA,NA
4882,7.54882,7.83143,8.02372,NA,0.971,NA,NA,NA,NA,NA,NA,NA
5091,6.85795,7.84292,8.33911,0.743,NA,NA,NA,NA,NA,NA,NA,NA
5282,7.37164,8.45182,7.38268,NA,0.843,NA,NA,NA,NA,NA,NA,NA
5422,7.9832,7.57369,7.34972,NA,0.953,NA,NA,NA,NA,NA,NA,NA
5800,7.36421,7.58128,8.1312,NA,0.936,NA,NA,NA,NA,NA,NA,NA
5947,8.02104,7.55649,8.15435,0.933,NA,NA,NA,NA,NA,NA,NA,NA
6040,7.39679,7.0598,7.85259,NA,0.866,NA,NA,NA,NA,NA,NA,NA
6243,7.16762,7.61009,7.10126,0.831,NA,NA,NA,NA,NA,NA,NA,NA
6590,7.00722,8.15994,8.09732,NA,0.825,NA,NA,NA,NA,NA,NA,NA
6652,7.58191,7.08929,7.99078,NA,NA,NA,NA,NA,0.725,NA,NA,NA
6931,7.73324,7.90858,8.75943,NA,NA,NA,NA,NA,0.751,NA,NA,NA
7168,8.05868,8.00158,6.89147,NA,NA,NA,NA,0.651,NA,NA,NA,NA
7311,8.12708,8.40075,8.24641,NA,NA,NA,NA,0.764,NA,NA,NA,NA
7481,7.78958,9.29385,7.66967,NA,0.665,NA,NA,NA,NA,NA,NA,NA
7656,7.74779,8.28431,7.45433,0.906,NA,NA,NA,NA,NA,NA,NA,NA
7940,8.33959,7.31913,7.91315,NA,0.882,NA,NA,NA,NA,NA,NA,NA
8134,8.85102,8.57589,7.3583,0.635,NA,NA,NA,NA,NA,NA,NA,NA
8313,8.94102,7.34591,7.86447,NA,NA,NA,NA,NA,0.638,NA,NA,NA
8421,7.71994,7.46482,7.55351,NA,NA,NA,NA,NA,0.889,NA,NA,NA
8678,7.48198,7.21084,6.75044,NA,NA,NA,NA,NA,0.621,NA,NA,NA
8802,7.61753,8.30933,6.80191,NA,0.721,NA,NA,NA,NA,NA,NA,NA
9064,7.75352,7.39978,7.62753,NA,0.967,NA,NA,NA,NA,NA,NA,NA
9354,8.24836,7.88033,7.74591,NA,NA,NA,NA,NA,0.861,NA,NA,NA
9458,8.37109,8.49985,8.53662,0.658,NA,NA,NA,NA,NA,NA,NA,NA
9681,8.18645,8.02919,8.04177,0.893,NA,NA,NA,NA,NA,NA,NA,NA
9860,7.59307,9.05775,7.94154,0.722,NA,NA,NA,NA,NA,NA,NA,NA
10061,8.11273,8.93573,7.51611,0.694,NA,NA,NA,NA,NA,NA,NA,NA
10325,7.86243,7.41732,6.9977,NA,NA,NA,NA,NA,0.808,NA,NA,NA
10586,8.29075,7.68089,7.26379,NA,NA,NA,NA,NA,0.743,NA,NA,NA
10608,8.01391,8.7505,7.22142,NA,NA,NA,NA,0.663,NA,NA,NA,NA
10876,6.67396,8.08046,7.5652,0.739,NA,NA,NA,NA,NA,NA,NA,NA
11092,7.79218,8.31331,8.01759,0.905,NA,NA,NA,NA,NA,NA,NA,NA
11370,7.6081,7.72444,8.40919,NA,0.908,NA,NA,NA,NA,NA,NA,NA
11460,7.94614,7.97679,7.85681,NA,NA,NA,NA,0.811,NA,NA,NA,NA
11775,9.08066,7.69415,7.85018,NA,0.711,NA,NA,NA,NA,NA,NA,NA
11999,7.32355,8.07638,6.98524,NA,0.794,NA,NA,NA,NA,NA,NA,NA
12147,7.65387,7.52577,7.17128,NA,0.915,NA,NA,NA,NA,NA,NA,NA
12311,7.28907,7.35799,7.49148,NA,0.917,NA,NA,NA,NA,NA,NA,NA
12439,7.45236,8.01511,8.04156,NA,NA,NA,NA,NA,0.882,NA,NA,NA
12702,7.68961,7.35352,7.49174,NA,0.961,NA,NA,NA,NA,NA,NA,NA
