id,x0,x1,x2,fitness2,fitness1,fitness0.5
109,7.56998,1.2282,4.42143,0.904,NA,NA
231,7.56998,1.13599,4.42143,0.922,NA,NA
265,7.56998,1.13599,3.92839,0.96,NA,NA
306,7.56998,1.13599,2.20204,0.985,NA,NA
384,7.56998,0.623146,2.20204,0.996,NA,NA
512,7.68013,0.623146,2.20204,1,NA,NA
542,7.68013,0.623146,1.17361,1,NA,NA
629,7.68013,0.623146,1.17361,1,NA,NA
792,7.68013,0.623146,1.17361,NA,1,NA
822,7.68039,0.623146,1.17361,NA,1,NA
900,7.72929,0.623146,1.17361,NA,1,NA
935,7.72929,0.623146,1.16707,NA,1,NA
1103,7.72929,0.623146,2.19244,NA,1,NA
1346,7.72812,0.623146,2.19244,NA,1,NA
1488,7.72644,0.623146,2.19244,NA,1,NA
2094,7.70045,0.623146,2.19244,NA,1,NA
2226,7.70045,2.19578,2.19244,NA,1,NA
2616,7.70667,2.19578,2.19244,NA,1,NA
4340,7.70667,2.19578,1.17021,NA,1,NA
5011,7.70667,2.19578,1.17021,NA,NA,1
5146,7.70667,1.16905,1.17021,NA,NA,1
7252,7.70667,2.19439,1.17021,NA,NA,1
8136,9.02007,2.19439,1.17021,NA,NA,0.749
