id,x0,x1,x2,fitness7,fitness8,fitness7.5,fitness6.5,fitness6,fitness4,fitness8.5,fitness9,fitness9.5,fitness10,fitness5.5,fitness10.5,fitness5,fitness3.5,fitness4.5,fitness3,fitness2.5,fitness2,fitness1,fitness0.5,fitness1.5
107,9.13241,8.65921,8.57593,0.37,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
247,8.01572,7.98086,8.24073,0.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
468,8.09803,7.95687,7.53472,NA,0.946,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
601,8.67668,6.95377,7.09386,0.497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
896,9.01991,6.03485,7.50421,0.172,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1077,8.13639,7.36517,7.39272,NA,NA,0.917,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1313,8.43127,8.39343,8.31105,NA,NA,0.752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1542,8.19919,9.15734,7.51084,NA,NA,0.657,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1734,8.61302,9.90752,6.58923,NA,NA,0.16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1900,7.54155,9.6057,5.66076,NA,0.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2068,8.37459,10.5,4.39391,0.281,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2257,7.44281,10.5,4.02289,NA,NA,NA,0.161,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2419,7.95862,9.13004,3.37193,NA,NA,NA,NA,-0.054,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2667,6.82153,10.5,2.37691,0.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2937,7.304,10.2126,1.00493,NA,NA,0.219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3112,6.57655,9.84984,2.3007,NA,0.272,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3215,7.84184,8.11578,3.63532,NA,NA,NA,NA,0.421,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3403,7.16831,6.9362,4.23642,NA,NA,NA,0.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3665,7.75237,7.65899,3.73772,NA,NA,NA,0.649,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3923,8.42023,7.76053,2.63107,NA,NA,NA,NA,NA,0.596,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4099,7.20577,7.73219,3.06628,NA,NA,NA,NA,NA,0.451,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4280,7.21106,8.72569,4.31788,NA,NA,NA,0.473,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4589,8.38077,8.4959,4.43596,NA,NA,NA,0.496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
