id,x0,x1,x2,fitness4,fitness4.5,fitness7,fitness8,fitness7.5,fitness8.5,fitness6.5,fitness9,fitness9.5,fitness10
59,8.17075,8.31136,9.46021,0.45,NA,NA,NA,NA,NA,NA,NA,NA,NA
328,7.48317,8.27803,8.53858,NA,0.698,NA,NA,NA,NA,NA,NA,NA,NA
499,6.90633,7.82747,7.32589,0.822,NA,NA,NA,NA,NA,NA,NA,NA,NA
634,7.88486,8.03308,7.61177,0.962,NA,NA,NA,NA,NA,NA,NA,NA,NA
907,7.5571,7.42776,7.6457,NA,0.955,NA,NA,NA,NA,NA,NA,NA,NA
1081,7.51897,6.12062,7.59585,0.478,NA,NA,NA,NA,NA,NA,NA,NA,NA
1279,7.63196,7.87094,6.98575,NA,0.732,NA,NA,NA,NA,NA,NA,NA,NA
1449,7.26036,6.91102,8.4435,0.721,NA,NA,NA,NA,NA,NA,NA,NA,NA
1693,6.48891,7.61193,8.38504,NA,0.602,NA,NA,NA,NA,NA,NA,NA,NA
1851,7.42827,7.51727,7.65981,0.954,NA,NA,NA,NA,NA,NA,NA,NA,NA
2174,7.12527,7.76362,7.75794,NA,0.896,NA,NA,NA,NA,NA,NA,NA,NA
2268,8.59148,8.37664,7.99788,0.767,NA,NA,NA,NA,NA,NA,NA,NA,NA
2591,8.35224,7.88812,8.30266,0.838,NA,NA,NA,NA,NA,NA,NA,NA,NA
2784,7.52581,8.67151,8.11641,0.803,NA,NA,NA,NA,NA,NA,NA,NA,NA
2835,8.19924,7.50502,7.72202,NA,0.835,NA,NA,NA,NA,NA,NA,NA,NA
3123,7.8115,8.33398,7.50832,NA,0.877,NA,NA,NA,NA,NA,NA,NA,NA
3384,7.83424,7.56247,8.00086,NA,0.79,NA,NA,NA,NA,NA,NA,NA,NA
3447,7.25481,8.37693,7.41966,NA,NA,0.771,NA,NA,NA,NA,NA,NA,NA
3707,7.82685,7.66117,8.61178,NA,NA,NA,0.81,NA,NA,NA,NA,NA,NA
3871,7.17555,7.66736,7.69378,NA,NA,NA,0.906,NA,NA,NA,NA,NA,NA
4099,7.4569,7.40912,7.68621,NA,NA,NA,0.933,NA,NA,NA,NA,NA,NA
4305,8.21774,7.90842,8.99683,NA,NA,NA,NA,0.679,NA,NA,NA,NA,NA
4568,7.79681,7.63897,8.22768,NA,NA,NA,NA,0.913,NA,NA,NA,NA,NA
4735,8.92347,7.74496,7.33534,NA,NA,NA,0.7,NA,NA,NA,NA,NA,NA
4912,8.23249,7.82794,8.26584,NA,NA,NA,NA,0.884,NA,NA,NA,NA,NA
5129,7.88014,8.55331,7.98705,NA,NA,0.676,NA,NA,NA,NA,NA,NA,NA
5289,7.68216,8.56735,7.10739,NA,NA,NA,0.787,NA,NA,NA,NA,NA,NA
5494,8.31907,8.20164,7.44833,NA,NA,NA,0.865,NA,NA,NA,NA,NA,NA
5633,7.9642,8.55877,7.61482,NA,NA,NA,0.837,NA,NA,NA,NA,NA,NA
5898,7.75288,7.0746,8.24891,NA,NA,0.803,NA,NA,NA,NA,NA,NA,NA
6057,7.5514,8.12183,7.92092,NA,NA,NA,NA,0.919,NA,NA,NA,NA,NA
6299,7.8128,8.06742,8.1925,NA,NA,NA,NA,NA,0.853,NA,NA,NA,NA
6421,7.90521,7.03037,8.21316,NA,NA,0.773,NA,NA,NA,NA,NA,NA,NA
6611,7.25893,7.61989,7.33047,NA,NA,NA,NA,0.917,NA,NA,NA,NA,NA
6872,7.07363,6.87807,7.77819,NA,NA,0.713,NA,NA,NA,NA,NA,NA,NA
7044,7.46872,7.58967,8.3857,NA,NA,NA,0.887,NA,NA,NA,NA,NA,NA
7290,7.65511,7.98487,7.10454,NA,NA,NA,NA,0.889,NA,NA,NA,NA,NA
7598,7.7381,8.31488,7.38187,NA,NA,NA,0.905,NA,NA,NA,NA,NA,NA
7718,6.77435,7.5677,8.21001,NA,NA,NA,0.747,NA,NA,NA,NA,NA,NA
7874,7.05764,7.47144,7.55936,NA,NA,NA,0.873,NA,NA,NA,NA,NA,NA
8084,7.42532,7.08831,6.98943,NA,NA,NA,NA,0.787,NA,NA,NA,NA,NA
8270,7.75298,7.86102,7.56046,NA,NA,NA,NA,0.99,NA,NA,NA,NA,NA
8524,7.67934,7.43748,8.33575,NA,NA,0.797,NA,NA,NA,NA,NA,NA,NA
8665,7.16746,7.74755,7.84012,NA,NA,0.87,NA,NA,NA,NA,NA,NA,NA
8951,7.18598,7.13379,7.80226,NA,NA,NA,0.866,NA,NA,NA,NA,NA,NA
9130,8.03969,6.53137,7.86581,NA,NA,NA,NA,0.698,NA,NA,NA,NA,NA
9274,7.48109,7.35636,8.74956,NA,NA,NA,NA,0.787,NA,NA,NA,NA,NA
9560,7.94243,7.51739,7.69187,NA,NA,NA,0.958,NA,NA,NA,NA,NA,NA
9656,8.1751,7.81597,7.79632,NA,NA,0.856,NA,NA,NA,NA,NA,NA,NA
9812,7.70443,7.68887,8.27927,NA,NA,NA,NA,NA,NA,0.748,NA,NA,NA
10051,6.78761,8.24104,7.85771,NA,NA,NA,0.763,NA,NA,NA,NA,NA,NA
10388,6.56144,8.02649,7.54376,NA,NA,NA,0.687,NA,NA,NA,NA,NA,NA
10411,7.62621,8.19453,7.64988,NA,NA,0.843,NA,NA,NA,NA,NA,NA,NA
10795,8.39602,7.80326,7.59385,NA,NA,NA,0.89,NA,NA,NA,NA,NA,NA
10820,8.40537,8.78825,7.85099,NA,NA,0.576,NA,NA,NA,NA,NA,NA,NA
11186,8.67737,7.23635,7.48095,NA,NA,NA,NA,NA,0.664,NA,NA,NA,NA
11373,8.02181,7.3548,8.532,NA,NA,NA,NA,0.83,NA,NA,NA,NA,NA
11451,8.44334,7.18357,7.39928,NA,NA,NA,NA,NA,0.744,NA,NA,NA,NA
11695,8.26077,7.94451,7.59812,NA,NA,NA,0.876,NA,NA,NA,NA,NA,NA
11967,7.44517,7.7308,7.58066,NA,NA,NA,NA,NA,0.827,NA,NA,NA,NA
12008,8.14572,8.26305,7.62408,NA,NA,NA,NA,0.895,NA,NA,NA,NA,NA
12228,8.45316,7.80794,7.59156,NA,NA,NA,0.842,NA,NA,NA,NA,NA,NA
12514,8.0218,7.93212,8.24201,NA,NA,0.855,NA,NA,NA,NA,NA,NA,NA
12611,7.75022,7.66195,7.30669,NA,NA,NA,NA,0.928,NA,NA,NA,NA,NA
12806,7.90586,7.18394,7.18283,NA,NA,NA,NA,NA,NA,0.665,NA,NA,NA
13063,7.48429,7.05299,7.66925,NA,NA,NA,NA,NA,0.787,NA,NA,NA,NA
13277,7.51091,6.79649,7.99752,NA,NA,NA,0.759,NA,NA,NA,NA,NA,NA
13434,8.00278,7.76804,7.78352,NA,NA,NA,NA,0.978,NA,NA,NA,NA,NA
13602,7.83322,7.47581,7.69934,NA,NA,NA,NA,0.949,NA,NA,NA,NA,NA
13881,7.30543,7.57375,7.71885,NA,NA,NA,NA,0.958,NA,NA,NA,NA,NA
14109,7.4433,7.93626,7.67855,NA,NA,NA,NA,0.974,NA,NA,NA,NA,NA
14356,7.95887,7.49158,7.79154,NA,NA,0.928,NA,NA,NA,NA,NA,NA,NA
14475,7.91436,7.27255,7.81881,NA,NA,NA,NA,NA,0.825,NA,NA,NA,NA
14602,7.49667,7.00092,7.65703,NA,NA,NA,0.877,NA,NA,NA,NA,NA,NA
14972,7.99373,7.55707,7.76894,NA,NA,NA,NA,NA,0.913,NA,NA,NA,NA
15071,8.26108,7.65436,7.60148,NA,NA,NA,NA,NA,NA,NA,0.704,NA,NA
15362,7.89743,7.72332,7.14224,NA,NA,0.873,NA,NA,NA,NA,NA,NA,NA
15556,8.3142,8.29978,8.18412,NA,NA,NA,0.816,NA,NA,NA,NA,NA,NA
15766,7.64463,8.64206,8.14142,NA,NA,NA,0.772,NA,NA,NA,NA,NA,NA
15843,7.48699,7.68385,7.41974,NA,NA,NA,NA,NA,0.857,NA,NA,NA,NA
16047,7.69226,7.78985,7.29525,NA,NA,NA,0.937,NA,NA,NA,NA,NA,NA
16367,7.68797,7.95373,8.91236,NA,NA,NA,NA,0.756,NA,NA,NA,NA,NA
16510,7.90142,7.71081,7.59337,NA,NA,NA,0.945,NA,NA,NA,NA,NA,NA
16659,7.7399,7.82454,7.60756,NA,NA,NA,NA,NA,0.896,NA,NA,NA,NA
16862,7.74349,8.00422,6.90522,NA,NA,NA,NA,0.824,NA,NA,NA,NA,NA
17063,8.20501,8.44995,7.7521,NA,NA,NA,0.848,NA,NA,NA,NA,NA,NA
17396,8.19817,7.87561,7.2447,NA,NA,0.754,NA,NA,NA,NA,NA,NA,NA
17562,8.12785,7.19039,7.70507,NA,NA,NA,0.907,NA,NA,NA,NA,NA,NA
17738,7.34964,8.0886,7.11447,NA,NA,NA,NA,0.868,NA,NA,NA,NA,NA
17852,7.43262,8.43947,7.70796,NA,NA,NA,0.886,NA,NA,NA,NA,NA,NA
18083,7.4728,7.64923,7.96944,NA,NA,NA,NA,0.954,NA,NA,NA,NA,NA
18332,7.70536,7.28109,7.44202,NA,NA,NA,NA,0.917,NA,NA,NA,NA,NA
18527,8.13182,7.58939,8.31845,NA,NA,NA,NA,0.892,NA,NA,NA,NA,NA
18779,8.03938,7.75193,8.12324,NA,NA,NA,NA,0.943,NA,NA,NA,NA,NA
18925,7.61202,7.07558,8.26199,NA,NA,NA,0.823,NA,NA,NA,NA,NA,NA
19170,7.67421,7.94056,6.9513,NA,NA,NA,0.814,NA,NA,NA,NA,NA,NA
19363,7.90508,7.51362,7.58759,NA,NA,NA,NA,0.98,NA,NA,NA,NA,NA
19439,8.26302,7.33546,7.88965,NA,NA,NA,0.905,NA,NA,NA,NA,NA,NA
19771,7.84384,8.02278,7.45936,NA,NA,NA,0.926,NA,NA,NA,NA,NA,NA
19906,8.30574,8.13481,7.82107,NA,NA,NA,0.875,NA,NA,NA,NA,NA,NA
20059,7.89614,7.97843,7.93956,NA,NA,NA,NA,0.967,NA,NA,NA,NA,NA
20221,7.88697,8.45095,7.73544,NA,NA,NA,NA,0.871,NA,NA,NA,NA,NA
20545,7.79412,7.72088,8.34219,NA,NA,NA,NA,0.91,NA,NA,NA,NA,NA
20649,6.92585,7.24876,7.98713,NA,NA,NA,0.794,NA,NA,NA,NA,NA,NA
20966,6.87106,7.20545,7.90113,NA,NA,NA,0.769,NA,NA,NA,NA,NA,NA
21056,7.8119,8.56426,8.05116,NA,NA,NA,NA,0.841,NA,NA,NA,NA,NA
21272,8.13522,8.54164,7.28461,NA,NA,NA,0.776,NA,NA,NA,NA,NA,NA
21504,7.65325,7.37096,7.77304,NA,NA,0.86,NA,NA,NA,NA,NA,NA,NA
21728,7.25723,7.18772,8.09525,NA,NA,NA,NA,0.854,NA,NA,NA,NA,NA
21906,7.33364,8.32821,7.68152,NA,NA,NA,0.884,NA,NA,NA,NA,NA,NA
22159,8.34215,7.92033,7.65929,NA,NA,NA,NA,NA,0.787,NA,NA,NA,NA
22388,7.76876,7.6647,7.50245,NA,NA,NA,NA,NA,0.909,NA,NA,NA,NA
22453,7.22166,7.76813,8.29617,NA,NA,NA,NA,0.88,NA,NA,NA,NA,NA
22694,7.75488,8.15679,7.76066,NA,NA,NA,NA,0.922,NA,NA,NA,NA,NA
22980,7.45196,8.3989,7.98278,NA,NA,NA,0.856,NA,NA,NA,NA,NA,NA
23198,7.31017,7.7787,8.292,NA,NA,NA,NA,0.877,NA,NA,NA,NA,NA
23251,7.76852,7.99696,8.3949,NA,NA,NA,0.892,NA,NA,NA,NA,NA,NA
23473,8.22211,8.14212,8.39559,NA,NA,NA,NA,0.824,NA,NA,NA,NA,NA
23674,8.04769,7.77542,8.12129,NA,NA,NA,NA,0.935,NA,NA,NA,NA,NA
23852,7.93537,8.18179,8.13292,NA,NA,NA,NA,NA,0.797,NA,NA,NA,NA
24088,7.85098,7.12865,8.63489,NA,NA,NA,NA,NA,0.647,NA,NA,NA,NA
24273,7.80435,8.24015,8.00906,NA,NA,NA,NA,NA,0.86,NA,NA,NA,NA
24514,7.91865,7.61384,8.47776,NA,NA,NA,0.865,NA,NA,NA,NA,NA,NA
24708,7.44244,7.06718,7.49842,NA,NA,NA,0.881,NA,NA,NA,NA,NA,NA
24845,7.33238,7.12405,7.07109,NA,NA,NA,NA,0.809,NA,NA,NA,NA,NA
25162,7.52889,8.17774,7.197,NA,NA,NA,NA,NA,0.758,NA,NA,NA,NA
25280,7.98033,8.1834,6.92527,NA,NA,NA,0.805,NA,NA,NA,NA,NA,NA
25566,8.52598,7.74305,7.21766,NA,NA,NA,NA,0.829,NA,NA,NA,NA,NA
25624,7.77435,8.42542,7.61245,NA,NA,NA,NA,0.9,NA,NA,NA,NA,NA
25883,8.17098,8.47877,8.25284,NA,NA,NA,NA,0.782,NA,NA,NA,NA,NA
26098,7.46396,7.48365,8.10363,NA,NA,0.896,NA,NA,NA,NA,NA,NA,NA
26243,6.83382,7.1656,7.39743,NA,NA,NA,0.739,NA,NA,NA,NA,NA,NA
26522,7.91577,6.7614,7.54748,NA,NA,NA,0.761,NA,NA,NA,NA,NA,NA
26730,8.45706,7.68947,7.36715,NA,NA,0.827,NA,NA,NA,NA,NA,NA,NA
26815,8.27959,8.07346,7.93483,NA,NA,NA,0.878,NA,NA,NA,NA,NA,NA
27156,8.29338,7.81299,8.20577,NA,NA,NA,0.874,NA,NA,NA,NA,NA,NA
27338,7.35723,8.21849,7.65642,NA,NA,0.864,NA,NA,NA,NA,NA,NA,NA
27515,7.40214,8.29348,8.15128,NA,NA,NA,0.846,NA,NA,NA,NA,NA,NA
27720,7.87367,6.7986,7.69722,NA,NA,0.775,NA,NA,NA,NA,NA,NA,NA
27918,7.57168,7.69101,8.23168,NA,NA,NA,NA,0.943,NA,NA,NA,NA,NA
28063,7.77102,7.77277,7.50761,NA,NA,NA,0.975,NA,NA,NA,NA,NA,NA
28280,7.81028,7.00754,8.26317,NA,NA,NA,0.816,NA,NA,NA,NA,NA,NA
28408,7.37412,7.97225,7.27932,NA,NA,NA,NA,0.92,NA,NA,NA,NA,NA
28688,8.00502,8.46328,7.60672,NA,NA,NA,NA,0.873,NA,NA,NA,NA,NA
28938,8.02504,7.62863,7.81291,NA,NA,NA,0.975,NA,NA,NA,NA,NA,NA
29188,7.71471,7.28287,8.02233,NA,NA,NA,0.916,NA,NA,NA,NA,NA,NA
29285,7.73845,7.6772,8.38525,NA,NA,NA,NA,NA,0.84,NA,NA,NA,NA
29495,7.08465,7.1349,8.71031,NA,NA,0.628,NA,NA,NA,NA,NA,NA,NA
29711,6.95937,8.50775,8.02829,NA,NA,NA,NA,0.723,NA,NA,NA,NA,NA
29952,7.86491,8.54826,8.02074,NA,NA,0.805,NA,NA,NA,NA,NA,NA,NA
30118,8.36631,8.93708,8.25167,NA,NA,NA,0.596,NA,NA,NA,NA,NA,NA
30284,8.43406,7.7026,7.26317,NA,NA,NA,0.86,NA,NA,NA,NA,NA,NA
