id,x0,x1,x2,fitness-3,fitness-3.5,fitness-2,fitness-2.5,fitness-1.5,fitness-1
75,2.02646,1.14243,-3.22545,-58.087,NA,NA,NA,NA,NA
256,2.0125,2.32055,-4.26868,NA,-33.709,NA,NA,NA,NA
596,1.96141,2.60443,-4.02478,NA,NA,-32.387,NA,NA,NA
624,1.44185,2.10646,-4.79844,NA,NA,NA,-16.025,NA,NA
804,1.11406,1.9362,-5,-29.58,NA,NA,NA,NA,NA
1082,1.96252,1.44705,-4.38846,-6.334,NA,NA,NA,NA,NA
1370,2.16783,1.44804,-4.55459,NA,NA,-13.031,NA,NA,NA
1413,2.00213,1.08022,-5,-31.259,NA,NA,NA,NA,NA
1616,2.51609,1.74455,-5,-37.887,NA,NA,NA,NA,NA
1945,1.68911,1.15662,-4.82312,-24.067,NA,NA,NA,NA,NA
2111,1.3403,1.87435,-5,NA,NA,NA,-21.029,NA,NA
2370,1.61266,1.68709,-5,NA,NA,NA,-15.565,NA,NA
2430,1.60669,2.14452,-4.94351,-20.267,NA,NA,NA,NA,NA
2644,1.62873,1.66258,-4.70446,NA,NA,NA,-7.677,NA,NA
2965,2.29539,2.11797,-4.72523,NA,NA,NA,-17.654,NA,NA
3153,1.80734,0.930825,-4.58436,-26.281,NA,NA,NA,NA,NA
3266,1.98976,1.65807,-4.76202,NA,NA,-15.01,NA,NA,NA
3440,1.74811,2.32067,-5,-28.306,NA,NA,NA,NA,NA
3609,2.54747,1.95643,-4.96201,NA,NA,NA,-27.824,NA,NA
3854,1.64231,2.21984,-5,NA,NA,NA,-21.06,NA,NA
4174,1.48223,2.51748,-4.30534,-31.073,NA,NA,NA,NA,NA
4306,1.55441,1.83968,-5,NA,NA,NA,-16.636,NA,NA
4452,1.29797,1.59817,-5,NA,-34.215,NA,NA,NA,NA
4765,1.31945,2.15292,-4.31452,-24.031,NA,NA,NA,NA,NA
4911,1.56405,1.80369,-4.87437,-22.469,NA,NA,NA,NA,NA
5185,2.05233,2.29105,-4.37448,-18.464,NA,NA,NA,NA,NA
5340,1.30347,1.96383,-5,NA,NA,-25.856,NA,NA,NA
5592,1.71761,2.72283,-4.22918,-35.61,NA,NA,NA,NA,NA
5772,2.89047,1.67539,-4.3414,-41.194,NA,NA,NA,NA,NA
5882,1.46633,2.32973,-3.50115,NA,-47.196,NA,NA,NA,NA
6166,1.27145,2.11283,-4.32166,NA,NA,-18.529,NA,NA,NA
6361,1.19542,1.73762,-4.37551,NA,NA,NA,-11.696,NA,NA
6488,1.31373,2.53028,-4.35271,NA,NA,NA,-25.71,NA,NA
6661,2.03587,2.29369,-5,NA,NA,NA,-23.764,NA,NA
6997,1.87214,1.5535,-4.62322,NA,NA,-16.214,NA,NA,NA
7145,1.73214,2.21996,-3.47168,NA,NA,-34.116,NA,NA,NA
7321,1.56857,1.49746,-5,NA,NA,-20.953,NA,NA,NA
7514,1.7836,1.81527,-4.05277,NA,NA,-17.996,NA,NA,NA
7671,1.94234,1.4782,-5,NA,NA,-18.8,NA,NA,NA
7903,1.61105,1.4473,-4.40706,-9.716,NA,NA,NA,NA,NA
8118,0.810082,2.05652,-4.21218,NA,NA,NA,-31.342,NA,NA
8306,2.13863,1.42898,-4.25151,-11.845,NA,NA,NA,NA,NA
8555,2.25766,2.15146,-4.48606,NA,NA,-17.025,NA,NA,NA
8603,1.71527,2.34662,-4.111,NA,-29.892,NA,NA,NA,NA
8959,1.00806,1.52548,-4.71256,NA,NA,NA,-25.614,NA,NA
9008,1.61679,1.55576,-3.61624,-21.23,NA,NA,NA,NA,NA
9340,1.79685,1.80093,-4.64767,NA,NA,NA,-5.635,NA,NA
9484,1.7002,1.91623,-5,NA,NA,-19.677,NA,NA,NA
9714,2.08931,1.44796,-4.44432,NA,NA,-20.989,NA,NA,NA
9976,1.18395,1.45598,-4.77003,NA,NA,-22.858,NA,NA,NA
10080,1.37257,1.73993,-4.55771,-17.4,NA,NA,NA,NA,NA
10365,1.96542,1.89661,-4.8143,NA,NA,-17.822,NA,NA,NA
10597,1.98613,1.75358,-4.50718,NA,NA,-10.754,NA,NA,NA
10700,1.52162,2.27532,-4.06403,-16.47,NA,NA,NA,NA,NA
10856,1.38396,2.04855,-4.92073,-24.556,NA,NA,NA,NA,NA
11038,1.59021,1.96004,-5,NA,NA,NA,-18.035,NA,NA
11383,2.20712,1.36259,-4.37915,NA,NA,-22.968,NA,NA,NA
11450,1.27526,0.882566,-4.60249,NA,NA,NA,-42.322,NA,NA
11785,1.86131,1.75574,-5,-23.57,NA,NA,NA,NA,NA
11853,1.54211,1.99372,-5,NA,NA,-26.197,NA,NA,NA
12093,2.06801,1.20512,-5,NA,NA,-29.385,NA,NA,NA
12311,1.60541,1.4001,-5,NA,NA,NA,-18.295,NA,NA
12429,1.99206,1.1776,-5,NA,NA,NA,-24.557,NA,NA
12730,1.83184,2.31532,-5,-27.026,NA,NA,NA,NA,NA
12833,1.58869,2.53001,-5,NA,NA,NA,-31.236,NA,NA
13061,1.71331,1.59332,-4.04399,NA,NA,-8.876,NA,NA,NA
13346,2.20047,2.22129,-4.42993,NA,NA,NA,NA,-34.166,NA
13498,1.56327,1.39815,-4.31439,NA,NA,-13.687,NA,NA,NA
13731,1.42596,2.0093,-4.97823,-26.924,NA,NA,NA,NA,NA
13957,1.89824,2.46342,-4.06319,NA,NA,-26.354,NA,NA,NA
14053,1.56362,1.58741,-5,NA,NA,-26.883,NA,NA,NA
14385,1.55294,1.34654,-4.36289,-9.667,NA,NA,NA,NA,NA
14417,1.58063,1.20806,-4.31804,NA,NA,NA,-8.407,NA,NA
14615,2.02962,1.42869,-4.85652,NA,NA,NA,-12.848,NA,NA
14936,1.30219,2.2193,-5,NA,NA,-32.908,NA,NA,NA
