id,x0,x1,x2,fitness-1.5,fitness-0.5,fitness-1,fitness-3.5,fitness-3,fitness-4,fitness-5,fitness-2.5,fitness-4.5,fitness-2,fitness0,fitness0.5
3,-0.809283,2.60772,-3.30476,-300.494,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
302,-0.62394,3.34609,-2.49768,-410.011,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
597,0.273679,4.42248,-2.86724,NA,-434.787,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
752,0.346932,3.04796,-2.70528,NA,NA,-267.115,NA,NA,NA,NA,NA,NA,NA,NA,NA
889,1.28101,3.88555,-3.90655,NA,NA,NA,-148.124,NA,NA,NA,NA,NA,NA,NA,NA
1168,1.36367,1.51732,-4.44234,NA,NA,NA,NA,-13.892,NA,NA,NA,NA,NA,NA,NA
1376,1.13873,0.0537248,-5,NA,NA,NA,NA,NA,-197.413,NA,NA,NA,NA,NA,NA
1541,2.2535,1.06854,-4.76287,NA,NA,NA,NA,NA,NA,-139.667,NA,NA,NA,NA,NA
1728,2.91603,0.330087,-4.37006,NA,NA,NA,NA,-103.161,NA,NA,NA,NA,NA,NA,NA
1992,2.59375,1.76003,-4.34668,-39.857,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2054,3.39008,2.31606,-4.33677,NA,-162.318,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2328,3.44336,2.55385,-3.79209,-110.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2487,2.91031,2.3252,-4.29834,NA,NA,-102.937,NA,NA,NA,NA,NA,NA,NA,NA,NA
2615,3.04901,2.33871,-5,-85.998,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2893,3.66179,3.80685,-5,-194.344,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3176,3.64779,3.72765,-3.644,NA,NA,NA,NA,-210.217,NA,NA,NA,NA,NA,NA,NA
3204,4.35987,3.73438,-5,NA,NA,NA,NA,NA,-288.742,NA,NA,NA,NA,NA,NA
3489,2.36916,2.16561,-3.80684,NA,NA,NA,NA,NA,NA,NA,-24.673,NA,NA,NA,NA
3637,4.2375,3.05028,-4.21422,NA,NA,NA,-204.051,NA,NA,NA,NA,NA,NA,NA,NA
3975,1.88959,1.54349,-4.39908,NA,NA,NA,-21.827,NA,NA,NA,NA,NA,NA,NA,NA
4055,0.887512,3.46027,-5,NA,NA,NA,NA,-97.284,NA,NA,NA,NA,NA,NA,NA
4298,0.691743,3.29023,-4.76129,NA,NA,NA,NA,-91.649,NA,NA,NA,NA,NA,NA,NA
4530,1.17889,2.34027,-5,-60.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4759,0.647256,1.07929,-4.05001,NA,NA,NA,NA,NA,NA,NA,-66.633,NA,NA,NA,NA
4953,0.394806,0.935801,-3.43759,NA,NA,NA,NA,NA,NA,NA,-118.212,NA,NA,NA,NA
5166,0.324326,1.7508,-3.36257,NA,NA,NA,NA,NA,NA,NA,NA,-139.934,NA,NA,NA
5371,1.33361,1.46254,-2.19407,NA,NA,NA,NA,NA,NA,-250.489,NA,NA,NA,NA,NA
5504,1.34678,2.59237,-3.84874,NA,NA,NA,NA,NA,NA,NA,NA,-121.125,NA,NA,NA
5772,1.30119,1.58191,-4.85507,NA,NA,NA,NA,NA,NA,NA,-16.543,NA,NA,NA,NA
5881,1.45039,1.47215,-5,NA,NA,NA,NA,-27.465,NA,NA,NA,NA,NA,NA,NA
6081,1.70225,0.265388,-3.95556,NA,NA,NA,NA,NA,NA,NA,-116.043,NA,NA,NA,NA
6340,1.5257,2.19195,-4.54893,NA,NA,NA,NA,NA,NA,NA,-12.042,NA,NA,NA,NA
