id,x0,x1,x2,fitness-3,fitness-2.5
75,2.02646,1.14243,-3.22545,-58.087,NA
284,2.02646,1.14243,-4.07152,-26.179,NA
332,2.02646,1.61005,-4.07152,-16.765,NA
377,2.02646,1.61005,-4.07152,NA,-4.267
438,1.67586,1.61005,-4.07152,NA,-2.314
482,1.67586,1.61005,-4.34084,NA,-0.331
588,1.74723,1.61005,-4.34084,NA,-0.092
737,1.74723,1.61005,-4.33593,NA,-0.081
848,1.74723,1.61005,-4.33593,NA,-0.064
988,1.74723,1.61005,-4.33593,NA,-0.038
1257,1.74723,1.58323,-4.33593,NA,-0.037
1334,1.74723,1.60735,-4.33593,NA,-0.036
1459,1.74723,1.60404,-4.33593,NA,-0.034
1563,1.74723,1.60404,-4.31399,NA,-0.009
1819,1.74723,1.59543,-4.31399,NA,-0.006
1890,1.75966,1.59543,-4.31399,NA,-0.002
2262,1.75966,1.59543,-4.31399,NA,-0.001
3557,1.75966,1.59543,-4.30656,NA,0
3724,1.75966,1.59543,-4.31049,NA,0
3822,1.75839,1.59543,-4.31049,NA,0
6931,1.75839,1.59543,-4.31049,NA,0
8124,0.274077,1.59543,-4.31049,NA,-65.245
