id,x0,x1,x2,fitness-3,fitness-1,fitness-1.5,fitness-2,fitness-2.5,fitness-3.5,fitness-4,fitness-0.5
75,2.02646,1.14243,-3.22545,-58.087,NA,NA,NA,NA,NA,NA,NA
292,2.78998,1.88516,-5,NA,-82.133,NA,NA,NA,NA,NA,NA
457,2.4812,1.91462,-5,NA,NA,-46.159,NA,NA,NA,NA,NA
713,2.54716,2.10046,-5,NA,NA,NA,-33.628,NA,NA,NA,NA
829,1.58197,1.88501,-5,NA,NA,NA,NA,-16.358,NA,NA,NA
1035,2.25254,1.91541,-5,-31.886,NA,NA,NA,NA,NA,NA,NA
1286,1.58482,1.39565,-4.24118,-6.365,NA,NA,NA,NA,NA,NA,NA
1599,1.81864,1.50545,-4.78712,NA,NA,NA,NA,-8.055,NA,NA,NA
1638,2.40233,1.60617,-4.43719,NA,NA,-47.456,NA,NA,NA,NA,NA
1897,2.55006,1.57294,-5,-30.971,NA,NA,NA,NA,NA,NA,NA
2130,1.53741,1.74982,-5,-17.805,NA,NA,NA,NA,NA,NA,NA
2249,1.94298,2.50569,-5,NA,NA,NA,NA,-30.315,NA,NA,NA
2560,1.41235,1.26579,-4.39618,-12.928,NA,NA,NA,NA,NA,NA,NA
2739,2.27481,1.25057,-4.66633,NA,NA,NA,NA,NA,-41.437,NA,NA
2991,1.47199,1.87898,-5,NA,NA,NA,NA,-18.719,NA,NA,NA
3151,1.76509,2.4364,-5,NA,NA,NA,-33.266,NA,NA,NA,NA
3389,1.79644,1.4473,-5,NA,NA,NA,-20.636,NA,NA,NA,NA
3598,2.56055,1.71045,-4.41833,-23.277,NA,NA,NA,NA,NA,NA,NA
3777,2.69961,2.30747,-4.86693,NA,NA,NA,NA,-37.586,NA,NA,NA
3972,1.21575,2.07009,-4.46601,NA,NA,NA,NA,-15.427,NA,NA,NA
4049,0.837541,2.4346,-4.42918,NA,NA,NA,-40.262,NA,NA,NA,NA
4214,2.0029,1.85091,-3.85432,NA,NA,NA,NA,-10.517,NA,NA,NA
4477,2.19121,1.55903,-5,NA,NA,NA,-22.324,NA,NA,NA,NA
4773,1.51199,1.64321,-5,NA,NA,NA,-19.97,NA,NA,NA,NA
4847,2.04095,1.99214,-4.37415,NA,NA,-26.748,NA,NA,NA,NA,NA
5120,1.83673,1.92158,-5,NA,NA,NA,NA,-16.19,NA,NA,NA
5356,2.03322,1.03854,-4.85601,-28.408,NA,NA,NA,NA,NA,NA,NA
5536,1.97522,1.13566,-5,NA,NA,NA,NA,-26.332,NA,NA,NA
5770,2.33589,1.93083,-4.99734,NA,NA,NA,NA,-23.184,NA,NA,NA
5922,2.12592,1.87583,-5,NA,NA,NA,NA,-17.753,NA,NA,NA
6123,1.54409,1.41614,-5,NA,NA,NA,NA,-21.249,NA,NA,NA
6287,1.80062,1.68727,-5,NA,NA,NA,-26.218,NA,NA,NA,NA
6571,1.85506,1.38555,-5,NA,NA,NA,NA,-18.632,NA,NA,NA
6664,2.19927,2.03517,-3.88754,NA,NA,NA,NA,-15.747,NA,NA,NA
6815,2.03546,2.55695,-3.97182,NA,NA,NA,NA,-27.33,NA,NA,NA
7025,0.739416,2.07848,-4.2002,NA,NA,NA,NA,-34.892,NA,NA,NA
7363,1.38311,2.23976,-4.64883,NA,NA,-33.509,NA,NA,NA,NA,NA
7515,1.39298,2.59053,-5,NA,-73.51,NA,NA,NA,NA,NA,NA
7718,1.21147,2.28224,-5,NA,NA,NA,NA,-29.843,NA,NA,NA
7828,2.73059,1.95075,-5,NA,NA,NA,NA,-35.414,NA,NA,NA
8151,1.23883,2.00057,-5,NA,NA,NA,NA,-25.219,NA,NA,NA
8397,2.59122,2.23083,-4.68333,NA,NA,NA,NA,-28.997,NA,NA,NA
8545,2.00326,2.26746,-5,NA,NA,NA,NA,-23.206,NA,NA,NA
8621,1.75979,2.29386,-5,-25.158,NA,NA,NA,NA,NA,NA,NA
8834,1.6643,1.10528,-4.96894,NA,NA,NA,-35.822,NA,NA,NA,NA
9097,1.37713,1.69466,-3.59005,NA,NA,NA,NA,NA,-37.894,NA,NA
9323,1.67053,2.56894,-4.33646,NA,NA,NA,-24.163,NA,NA,NA,NA
9452,0.845724,2.26763,-3.9554,-46.304,NA,NA,NA,NA,NA,NA,NA
9699,2.46684,1.11611,-4.3089,NA,NA,NA,NA,-24.787,NA,NA,NA
9904,1.80712,1.45494,-4.37654,NA,NA,NA,NA,-2.673,NA,NA,NA
10179,1.35207,1.82429,-4.51097,NA,NA,NA,NA,NA,-36.575,NA,NA
10257,2.08479,2.88604,-5,NA,NA,NA,NA,-46.844,NA,NA,NA
10529,2.63933,2.17578,-5,NA,NA,NA,NA,-35.981,NA,NA,NA
10631,1.69303,1.26822,-3.89126,NA,NA,NA,-18.962,NA,NA,NA,NA
10812,2.3825,2.21864,-4.58463,NA,NA,NA,-21.355,NA,NA,NA,NA
11175,2.51055,2.06685,-5,NA,NA,NA,NA,-29.184,NA,NA,NA
11383,1.38608,2.37572,-5,NA,NA,NA,NA,-29.661,NA,NA,NA
11556,1.51949,1.88301,-4.34711,NA,NA,NA,NA,NA,-35.222,NA,NA
11710,1.78418,1.2835,-4.83686,-21.972,NA,NA,NA,NA,NA,NA,NA
11972,2.10952,1.47727,-5,-19.712,NA,NA,NA,NA,NA,NA,NA
12154,1.39142,1.22279,-5,NA,NA,NA,NA,-28.653,NA,NA,NA
12265,1.8578,1.55804,-4.34815,NA,NA,NA,-6.565,NA,NA,NA,NA
12576,2.13869,1.84438,-4.35738,NA,NA,NA,-9.237,NA,NA,NA,NA
12625,2.12012,1.56056,-4.77203,NA,NA,NA,-13.253,NA,NA,NA,NA
12889,1.03718,1.58983,-5,NA,NA,NA,-41.983,NA,NA,NA,NA
13056,2.44112,2.17856,-4.43034,NA,NA,-42.05,NA,NA,NA,NA,NA
13265,2.57866,1.80751,-5,-30.166,NA,NA,NA,NA,NA,NA,NA
13413,2.8094,1.55318,-5,-48.134,NA,NA,NA,NA,NA,NA,NA
13719,2.15465,1.59866,-4.8265,-13.966,NA,NA,NA,NA,NA,NA,NA
13927,2.24082,2.1248,-5,NA,NA,NA,NA,-23.137,NA,NA,NA
14178,1.61595,1.46763,-5,NA,NA,NA,-21.587,NA,NA,NA,NA
14273,1.40161,1.61885,-3.64588,NA,NA,NA,NA,-19.627,NA,NA,NA
14427,1.745,2.04058,-3.81403,-15.129,NA,NA,NA,NA,NA,NA,NA
14683,1.33154,1.48534,-5,NA,NA,NA,-35.243,NA,NA,NA,NA
14864,2.39979,1.95552,-5,NA,NA,NA,-26.692,NA,NA,NA,NA
15135,2.29217,1.3693,-4.42848,NA,NA,NA,NA,-12.036,NA,NA,NA
15376,1.8179,1.45059,-4.37887,NA,NA,NA,-15.401,NA,NA,NA,NA
15511,1.6643,1.61674,-4.13751,NA,NA,-30,NA,NA,NA,NA,NA
15799,2.64768,1.29331,-5,NA,NA,NA,NA,-37.84,NA,NA,NA
15866,2.09781,1.28046,-5,NA,NA,NA,NA,-22.234,NA,NA,NA
16143,1.64323,1.23696,-3.83692,NA,NA,NA,NA,-15.781,NA,NA,NA
16350,1.79847,1.19451,-3.82363,NA,NA,NA,NA,-16.802,NA,NA,NA
16573,1.58636,1.34834,-5,NA,NA,NA,NA,-22.021,NA,NA,NA
16786,2.43614,1.66266,-5,NA,NA,NA,NA,-24.094,NA,NA,NA
16879,2.80929,2.26836,-4.27897,NA,NA,NA,NA,NA,-49.387,NA,NA
17174,2.33487,2.46473,-5,NA,NA,NA,NA,-34.19,NA,NA,NA
17283,1.81211,1.5102,-5,-25.452,NA,NA,NA,NA,NA,NA,NA
17406,1.96799,0.811443,-4.60545,-37.977,NA,NA,NA,NA,NA,NA,NA
17746,2.10016,2.19726,-5,NA,NA,NA,NA,-22.827,NA,NA,NA
17802,1.48901,1.32876,-4.5515,NA,NA,NA,NA,NA,-38.979,NA,NA
18181,1.53313,1.10299,-4.15238,-27.053,NA,NA,NA,NA,NA,NA,NA
18347,1.77229,1.15167,-5,-35.358,NA,NA,NA,NA,NA,NA,NA
18534,2.54127,0.937708,-4.49923,-37.88,NA,NA,NA,NA,NA,NA,NA
18619,1.74099,1.47686,-4.02856,NA,NA,-40.186,NA,NA,NA,NA,NA
18814,1.49947,2.84525,-5,NA,NA,NA,-49.435,NA,NA,NA,NA
19115,1.50891,1.68264,-5,NA,NA,NA,NA,-16.809,NA,NA,NA
19212,2.0136,1.48462,-4.67146,NA,NA,-46.12,NA,NA,NA,NA,NA
19451,1.18029,2.27105,-5,NA,NA,NA,-37.675,NA,NA,NA,NA
19736,2.3504,2.36693,-5,NA,NA,NA,-36.634,NA,NA,NA,NA
19876,2.2084,1.23711,-4.98735,NA,-61.69,NA,NA,NA,NA,NA,NA
20037,1.47951,1.60823,-5,NA,NA,NA,-20.124,NA,NA,NA,NA
20359,1.75969,1.37873,-4.80097,NA,NA,NA,-17.744,NA,NA,NA,NA
20448,1.58598,1.79919,-5,NA,NA,-30.948,NA,NA,NA,NA,NA
20655,1.45655,1.49412,-5,NA,NA,-38.258,NA,NA,NA,NA,NA
20828,1.56942,1.64232,-5,NA,NA,NA,NA,-16.364,NA,NA,NA
21027,2.38414,1.37327,-5,-26.712,NA,NA,NA,NA,NA,NA,NA
21248,1.52429,2.44127,-4.98323,NA,NA,NA,NA,-27.854,NA,NA,NA
21507,0.960434,2.08643,-5,NA,NA,-53.455,NA,NA,NA,NA,NA
21659,1.65388,1.67422,-5,-18.365,NA,NA,NA,NA,NA,NA,NA
21963,1.58636,2.54939,-4.69574,NA,NA,NA,NA,NA,-37.563,NA,NA
22089,0.759391,1.89808,-4.59267,NA,NA,-61.351,NA,NA,NA,NA,NA
22243,0.937345,1.86312,-5,NA,NA,NA,NA,-34.534,NA,NA,NA
22456,1.71699,1.69634,-5,NA,NA,-31.037,NA,NA,NA,NA,NA
22653,2.25684,2.51647,-4.803,NA,NA,NA,NA,-29.699,NA,NA,NA
22959,2.25461,1.36934,-5,NA,NA,NA,NA,-22.478,NA,NA,NA
