id,x0,x1,x2,fitness-4,fitness-5,fitness-4.5,fitness-3.5,fitness-3
176,-1.40887,4.95498,-1.50103,-469.016,NA,NA,NA,NA
227,-0.877075,4.53019,-2.72701,NA,-216.817,NA,NA,NA
600,-0.851233,3.70064,-4.40897,NA,-124.345,NA,NA,NA
764,-0.67326,3.93943,-4.59039,-118.773,NA,NA,NA,NA
912,-2.08573,3.78031,-5,NA,-36.461,NA,NA,NA
1012,-3.52062,3.26677,-5,NA,-112.756,NA,NA,NA
1332,-2.31512,3.93019,-5,NA,-53.145,NA,NA,NA
1556,-1.3798,4.02355,-5,NA,-47.532,NA,NA,NA
1782,-1.33503,3.52206,-5,NA,-37.428,NA,NA,NA
1812,-2.13411,3.88619,-3.71409,NA,-83.574,NA,NA,NA
2099,-2.16982,4.5798,-5,NA,-62.539,NA,NA,NA
2364,-2.41711,4.70295,-5,NA,-76.3,NA,NA,NA
2554,-1.67557,4.15275,-4.9954,NA,-37.712,NA,NA,NA
2648,-1.37129,4.19796,-5,NA,NA,-35.693,NA,NA
2974,-1.08918,3.75221,-4.41864,NA,-48.839,NA,NA,NA
3109,-1.77817,3.3828,-5,NA,-40.512,NA,NA,NA
3343,-1.89511,3.24539,-5,NA,-64.5,NA,NA,NA
3523,-1.95962,3.77969,-5,NA,-34.764,NA,NA,NA
3768,-2.34921,4.33311,-4.76256,NA,-48.927,NA,NA,NA
3990,-1.68611,4.54095,-5,NA,-65.192,NA,NA,NA
4096,-1.68633,3.82673,-5,NA,NA,-11.113,NA,NA
4336,-3.25865,3.60493,-5,NA,-93.961,NA,NA,NA
4450,-2.66702,4.67164,-5,NA,-71.055,NA,NA,NA
4799,-1.59529,3.69686,-5,NA,-32.645,NA,NA,NA
4874,-1.87188,3.72947,-4.87536,NA,-40.553,NA,NA,NA
5094,-2.38094,4.75743,-4.79762,NA,-82.29,NA,NA,NA
5359,-2.02432,4.26656,-5,NA,-63.185,NA,NA,NA
5423,-1.73018,2.98809,-4.72303,NA,-80.88,NA,NA,NA
5660,-2.01753,4.15769,-4.94526,NA,NA,-27.751,NA,NA
5880,-1.92367,4.62625,-4.76408,NA,-54.221,NA,NA,NA
6061,-2.24341,3.71406,-4.88433,-45.425,NA,NA,NA,NA
6286,-1.42788,4.20206,-4.55694,NA,-55.126,NA,NA,NA
6580,-1.06558,4.28836,-5,NA,-51.402,NA,NA,NA
6708,-2.07817,3.42654,-5,NA,-65.771,NA,NA,NA
6869,-1.58173,4.3255,-4.64085,NA,-53.391,NA,NA,NA
7091,-2.08338,4.0562,-5,NA,-43.547,NA,NA,NA
7332,-1.87817,4.04319,-5,NA,-45.51,NA,NA,NA
7515,-1.86831,4.39396,-5,NA,NA,-42.822,NA,NA
7718,-2.04981,4.08567,-5,NA,-52.216,NA,NA,NA
7952,-1.92475,3.69849,-5,NA,-39.455,NA,NA,NA
8137,-2.26658,4.47335,-5,NA,-60.474,NA,NA,NA
8215,-1.75825,4.1618,-5,NA,NA,-33.878,NA,NA
8441,-2.42887,4.2431,-4.90435,NA,-52.527,NA,NA,NA
8671,-1.1438,4.31253,-4.96233,NA,-51.585,NA,NA,NA
8819,-1.69076,3.80262,-5,NA,-53.963,NA,NA,NA
9132,-1.69445,4.38969,-5,NA,-46.196,NA,NA,NA
9321,-1.64153,4.5316,-5,NA,-64.015,NA,NA,NA
9459,-1.79313,3.3209,-5,NA,-45.692,NA,NA,NA
9671,-1.95714,4.30726,-5,-57.815,NA,NA,NA,NA
9946,-1.86996,4.3479,-5,NA,-49.939,NA,NA,NA
10058,-2.44493,4.25916,-5,NA,-57.151,NA,NA,NA
10399,-1.75124,3.47513,-5,NA,NA,-20.306,NA,NA
10464,-1.79929,3.29381,-5,NA,NA,NA,-75.778,NA
