id,x0,x1,x2,fitness-4.5,fitness-4
35,-3.60652,2.8701,-2.84442,-219.743,NA
213,-3.60652,3.0317,-2.84442,-215.574,NA
234,-3.60652,3.0317,-3.49053,-171.666,NA
252,-3.60652,3.0317,-5,-118.993,NA
262,-2.8576,3.0317,-5,-82.797,NA
297,-2.8576,3.80032,-5,-62.229,NA
312,-1.56866,3.80032,-5,-5.634,NA
329,-1.56866,3.74366,-5,-4.605,NA
336,-1.56866,3.74749,-5,-4.653,NA
344,-1.56866,3.74749,-4.89495,-2.473,NA
441,-1.56866,3.74749,-4.83519,-2.394,NA
485,-1.56866,3.74749,-4.83519,NA,-2.223
547,-1.56866,3.74749,-4.87561,NA,-2.183
577,-1.56866,3.74749,-4.85625,NA,-2.152
599,-1.56866,3.74749,-4.85625,-1.613,NA
662,-1.49411,3.74749,-4.85625,-1.065,NA
713,-1.49411,3.62222,-4.85625,-0.553,NA
784,-1.49411,3.62222,-4.85625,-0.452,NA
875,-1.49411,3.65105,-4.85625,-0.125,NA
910,-1.49411,3.67675,-4.85625,-0.044,NA
1071,-1.49411,3.67675,-4.85625,-0.031,NA
1794,-1.48348,3.67675,-4.85625,-0.005,NA
2138,-1.48348,3.67675,-4.85625,-0.004,NA
2244,-1.48264,3.67675,-4.85625,-0.004,NA
3946,-1.48066,3.67675,-4.85625,-0.004,NA
4005,-1.48066,3.67675,-4.85966,-0.003,NA
4148,-1.48066,3.67344,-4.85966,-0.002,NA
4620,-1.48066,3.67344,-4.85966,0,NA
5180,-1.48066,3.67344,-4.85966,0,NA
8062,-1.48066,3.01101,-4.85966,-79.228,NA
