id,x0,x1,x2,fitness
125,4.70558,1.03593,4.56261,25.659
307,4.77506,-0.176764,5,966.121
513,4.17293,1.19627,4.56813,28.777
719,4.05866,1.41265,4.89387,62.914
892,3.79843,2.92984,4.99368,51.224
1180,4.634,1.04121,5,57.022
1333,5,1.09033,4.88713,-9.741
1483,4.93013,0.0181743,5,442.615
1717,3.62233,0.237429,3.95424,-5.856
1807,3.19773,0.428091,0.904185,32.391
2175,3.22483,0.658859,1.18386,12.179
2260,4.4578,0.466361,1.95526,8.902
2409,5,0.298377,2.49513,36.089
2626,4.75667,-0.868807,2.37875,398.597
2864,5,-0.0911949,5,672.426
3155,4.50308,0.377784,3.07535,-1.838
3353,4.98023,0.382819,3.26615,137.264
3486,5,-0.305842,4.82951,846.523
3660,5,-0.190567,5,793.757
3927,5,-0.685121,4.26791,734.021
4101,4.86634,-0.643621,4.08619,392.42
4312,5,-0.186255,5,793.028
4575,5,-0.207019,5,792.38
4616,5,-0.367977,5,426.783
4807,4.86693,-0.295278,5,891.236
5084,4.287,-0.855533,5,831.174
5344,4.13512,0.82908,4.09953,51.378
5411,5,2.00539,4.98124,73.607
5788,4.71877,3.76834,5,347.017
5935,3.19222,5,4.42363,109.356
6106,4.2322,5,4.39983,251.884
6348,4.82755,5,3.79582,435.138
6592,4.76769,5,5,1083.187
6673,5,5,4.80454,1157.925
6820,5,5,5,900.055
7099,5,5,4.83193,1189.709
7213,4.75858,3.66588,5,299.389
7560,4.08857,4.31071,5,171.323
7758,5,5,5,900.055
7840,5,5,3.70359,299.879
8059,5,5,5,900.055
8214,5,4.9995,5,902.105
8416,5,5,4.6134,481.855
8690,5,5,4.51676,23.504
8938,5,5,4.63575,587.278
9124,4.65128,5,4.7647,786.921
9224,5,5,5,900.055
9535,5,4.8804,4.70293,1160.039
9713,5,5,4.68011,784.124
9874,4.60889,5,4.92861,575.12
10129,5,5,5,900.055
10243,4.84029,4.69379,4.53127,111.079
10379,5,4.15886,4.25828,282.669
10684,5,4.88552,4.58937,483.695
10773,4.34916,4.19765,5,295.337
11095,5,5,5,900.055
11275,5,5,4.89216,1182.287
11531,5,5,5,900.055
11659,5,4.7914,5,1135.325
11865,5,5,5,900.055
12378,4.34796,4.01561,4.94199,48.935
12539,5,4.71702,3.81171,332.522
12792,5,4.18932,3.07008,59.945
13042,5,5,3.72465,317.565
13276,5,5,3.78106,333.863
13381,5,4.85228,3.94841,142.812
13535,5,5,4.61604,494.445
13699,5,5,5,900.055
14011,4.91557,5,5,1149.836
14252,5,5,5,900.055
14450,5,4.8488,5,1198.555
14546,4.90035,4.84433,5,1559.789
14689,4.84047,5,5,1195.23
14911,5,5,4.99551,918.236
15163,4.74395,4.62394,5,601.252
15398,5,5,5,900.055
15463,4.41172,3.77647,4.22557,84.968
15815,5,4.31384,4.29381,355.561
15950,3.5664,3.50361,5,-4.901
16095,4.76733,4.92171,5,1369.117
16343,5,4.8264,5,1185.005
16602,5,5,5,900.055
16781,4.56695,5,3.88225,69.54
16901,4.77997,4.57634,4.58813,150.067
17165,5,4.9566,5,1053.534
17356,5,5,5,900.055
17542,4.88066,4.84402,5,1585.313
17603,4.61722,5,5,500.062
17960,3.82068,5,4.95704,369.963
18057,3.90661,5,5,198.546
18250,3.66914,4.99067,4.73733,298.595
18449,4.73252,4.95708,5,1146.994
18563,4.96441,4.78984,5,1295.428
18847,3.89319,5,4.85068,297.93
19118,5,5,4.69624,849.679
19319,5,3.61053,5,161.423
19369,5,3.81278,5,321.861
19700,5,5,4.84503,1197.304
19822,5,4.87037,4.67599,1020.236
20031,5,5,4.77434,1099.237
20258,5,5,5,900.055
20709,5,5,3.95541,90.174
20755,5,3.85375,3.74161,103.135
21044,5,5,5,900.055
21178,5,3.92913,4.9232,191.319
21356,4.99368,3.72655,4.91729,417.765
21635,5,4.61438,5,486.532
21866,5,5,4.79031,1133.244
21956,5,5,5,900.055
22574,4.83243,5,5,1190.09
22715,4.82233,5,5,1180.983
23034,5,5,4.86431,1199.247
23061,5,4.93298,5,1115.017
23304,4.76709,5,5,1081.686
23444,5,4.79014,5,1132.917
23692,4.77878,5,5,1109.343
23973,5,5,5,900.055
24244,3.96583,5,5,64.109
24447,3.95002,5,5,103.303
24660,3.91485,5,4.86839,242.359
24979,3.34952,4.39951,5,139.346
25065,4.93181,5,5,1117.64
25350,5,5,5,900.055
25951,4.99534,5,5,918.914
26141,5,5,4.851,1199.09
26355,5,5,5,900.055
26485,4.75259,5,5,1042.815
26606,5,4.78211,4.62102,642.756
26826,4.78548,5,5,1123.649
27118,4.31434,4.3233,5,342.374
27237,5,4.83104,4.69859,1134.642
27484,5,5,3.78485,333.246
27695,5,5,4.59996,417.388
27764,5,5,5,900.055
28692,4.54256,5,5,142.221
28861,5,4.6605,4.69828,666.755
28967,5,5,5,900.055
29237,4.70725,4.73543,5,981.914
29362,4.19608,4.2036,4.81013,385.231
29496,5,5,4.70911,899.052
29771,5,5,4.74701,1026.569
29919,5,5,5,900.055
30238,4.78184,5,4.99463,1142.906
30307,5,4.65139,5,658.975
30543,5,5,4.65996,697.302
30843,5,4.9456,4.53539,130.966
30915,5,5,5,900.055
31207,5,4.73096,4.77166,1185.207
31327,5,5,4.63394,578.854
31491,5,5,5,900.055
31924,4.90382,5,4.68177,1026.71
32180,5,4.78501,5,1122.683
32324,5,5,5,900.055
32582,4.86026,5,5,1199.761
32783,5,4.82756,5,1186.065
32815,5,5,5,900.055
33161,5,5,4.77732,1106.074
33250,5,5,4.8004,1151.305
33453,5,5,5,900.055
33776,5,4.99763,4.97369,1009.877
33926,5,5,5,900.055
34146,5,4.58367,4.91507,433.136
34304,4.79533,2.58274,5,64.649
34504,4.81215,3.76872,5,434.208
34600,5,5,5,900.055
34962,5,5,4.95704,1052.236
35057,5,5,4.98348,964.401
35251,5,5,4.77649,1104.192
35465,4.57415,5,4.93864,358.488
35619,3.77202,4.62197,5,194.193
35766,4.99353,5,5,926.091
36063,4.73335,5,5,983.936
36163,4.9884,5,5,945.975
36435,4.81266,4.83838,4.75433,1806.186
36537,5,5,4.8894,1185.018
36861,5,5,4.85238,1199.352
37067,5,5,4.86078,1199.723
37168,5,5,5,900.055
37516,5,5,4.81163,1168.171
37571,5,4.86864,4.67333,1005.684
37883,4.8842,4.76606,5,1426.15
38028,4.90985,5,4.71542,1187.835
38172,3.91221,5,4.71983,195.316
38364,4.96143,4.68928,5,948.731
38663,5,5,4.7417,1010.47
38728,5,5,4.5651,249.333
38991,4.67524,5,5,763.605
39188,4.81234,4.61057,5,608.333
39342,5,5,5,900.055
39609,5,4.51048,3.94322,-0.601
39672,5,5,3.9415,123.522
39867,5,4.75384,5,1046.358
40219,4.86856,5,4.93436,1480.154
40240,4.07943,5,4.12911,104.815
40456,5,5,5,900.055
40998,5,4.82247,5,1181.129
41189,5,4.83849,4.75542,1394.12
41411,5,5,4.88682,1187.362
41609,5,4.82281,5,1181.482
41763,4.67419,5,5,759.141
42003,5,5,4.5871,355.353
42153,4.5401,5,5,130.691
42262,4.52512,5,5,61.389
42574,5,5,5,900.055
42653,5,5,4.777,1105.351
42862,5,4.75903,5,1060.686
43092,5,5,3.61727,174.056
43195,5,4.97878,5,981.406
43509,4.98286,5,5,966.678
43666,5,4.31115,4.42074,217.103
43789,5,5,5,900.055
44210,4.85534,5,5,1199.724
44418,4.87925,3.92854,4.98247,218.036
44640,5,5,5,900.055
45813,5,4.94089,5,1096.232
46026,5,5,5,900.055
46230,5,4.82892,5,1187.258
46322,5,5,5,900.055
46792,4.75419,5,5,1047.344
47057,5,3.89073,3.76847,84.692
47107,5,4.02462,3.30673,35.157
47431,5,4.44651,5,-262.141
47455,5,5,4.7332,983.446
47766,5,4.87265,4.79105,1508.543
47922,4.57718,5,3.85622,95.802
48183,4.88683,4.97585,4.5434,212.459
48392,4.26374,5,4.39369,270.318
48536,4.91256,4.75793,5,1357.226
48663,4.77203,4.74355,5,1234.866
48899,5,4.77534,4.79785,1403.783
49057,4.59132,5,4.96487,429.236
49345,5,4.90655,5,1164.303
49456,5,5,4.97949,978.875
49796,5,5,4.86868,1198.139
49842,5,5,4.6384,599.567
50098,5,3.85421,4.92038,358.774
50308,5,2.66843,5,173.583
50535,4.93202,1.88817,4.85415,361.765
50777,4.05421,1.73015,4.17273,23.387
50958,3.46789,2.56591,5,-3.45
50995,4.96722,1.8762,4.73026,279.871
51264,5,3.81275,5,321.879
51435,5,5,5,900.055
51576,4.92965,4.86282,5,1495.777
51845,5,4.76303,5,1071.301
52123,4.90138,5,5,1171.487
52272,5,5,4.9516,1067.892
52469,4.73451,5,3.70215,327.522
52707,5,5,5,900.055
53289,5,5,4.916,1149.086
53489,5,5,3.91462,182.52
53632,4.97117,5,4.53634,126.672
53853,4.76082,4.82171,4.8418,1856.544
53918,5,5,5,900.055
54419,4.83554,5,5,1192.302
54591,4.01437,5,5,-66.406
54710,4.63562,5,4.84021,778.985
55008,4.98258,4.683,5,855.986
55257,4.66017,5,4.86542,930.158
55364,5,4.72959,5,971.516
55568,5,5,5,900.055
55796,5,4.90454,5,1167.192
56016,5,5,5,900.055
56171,5,4.85631,3.87311,342.363
56456,5,4.96391,4.91784,1312.85
56503,5,5,5,900.055
56837,4.53669,5,5,114.772
57021,2.90905,5,5,164.336
57132,5,4.81813,4.70478,1153.723
57288,5,4.6361,5,588.904
57542,4.67353,3.85169,5,240.396
57802,5,5,2.89481,181.55
57901,4.91662,5,3.69044,364.681
58061,5,5,5,900.055
58309,4.94566,5,5,1084.02
58555,4.88909,5,5,1185.31
58635,5,5,5,900.055
58856,5,5,3.85488,282.142
59101,5,5,2.71754,220.581
59271,4.31126,4.54856,3.36527,34.483
59586,4.85814,5,5,1199.834
59757,5,5,4.55068,180.532
59905,4.85026,5,5,1198.926
60175,5,4.79502,3.78766,422.068
60370,4.82454,5,4.84561,1574.282
60516,5,4.81285,5,1169.794
60673,5,3.68101,5,274.611
60860,5,5,5,900.055
61050,3.86749,5,5,265.138
61296,3.27675,4.23836,5,209.766
61498,4.85319,5,3.6136,222.843
61697,5,5,3.73594,324.547
61896,4.78479,5,5,1122.229
62024,5,5,5,900.055
62251,5,5,4.84024,1195.109
62458,4.74607,4.70703,5,1013.762
62687,5,5,5,900.055
63133,4.34151,4.43418,5,178.872
63217,5,5,5,900.055
63363,5,5,4.58456,343.087
63648,5,4.99828,5,907.08
63789,5,4.93245,5,1116.21
64078,5,5,5,900.055
64280,5,4.83637,5,1192.845
64372,5,5,4.81671,1174.655
64537,5,4.95725,5,1051.615
64773,5,4.71933,4.68144,821.384
64983,3.27632,5,4.25354,213.248
65259,4.69266,5,5,835.466
65505,4.81968,4.87188,4.58665,614.786
65542,5,4.54308,5,144.663
65709,5,5,5,900.055
66094,4.36223,4.14316,5,225.641
66158,5,4.60179,5,426.196
66402,4.66157,5,4.66976,579.268
66535,5,5,4.93822,1102.778
66774,5,5,5,900.055
66977,3.20195,5,4.09065,93.284
67095,4.52603,5,5,65.549
67408,3.87263,5,4.83517,341.118
67570,4.04564,5,4.21675,92.75
67662,4.72728,5,4.73005,1041.906
67893,4.7083,4.6576,5,683.749
68181,5,4.89266,5,1181.767
68347,5,4.78896,5,1130.624
68495,5,5,5,900.055
68891,5,4.39922,4.30498,257.73
69091,5,5,4.68474,803.33
69328,5,5,5,900.055
69889,5,5,4.83887,1194.358
70103,5,5,4.80571,1159.711
70304,4.73639,5,4.65986,769.413
70510,4.5598,4.89979,4.97239,325.582
70723,5,5,5,900.055
71124,4.75835,5,4.92291,1336.72
71354,5,5,5,900.055
71404,4.52463,5,5,59.151
71668,5,5,4.80972,1165.547
71969,5,5,5,900.055
72099,5,3.37858,4.43242,95.466
72260,5,4.96172,5,1038.096
72531,5,5,5,900.055
72849,4.96071,5,5,1041.2
73053,5,5,4.72005,938.745
73323,5,5,4.77699,1105.328
73507,5,5,4.62498,536.832
73621,4.59202,5,5,379.107
73900,5,5,5,900.055
74085,5,4.94029,5,1097.721
74312,5,5,4.67333,755.473
74458,4.81059,5,5,1166.755
74718,5,5,3.76999,334.407
74757,5,4.76838,5,1084.903
74977,5,5,5,900.055
75462,4.70728,4.79944,4.95597,1336.352
75535,5,5,4.67532,763.945
75860,4.81844,4.7639,3.94257,188.717
75973,4.6543,5,5,672.073
76182,5,5,5,900.055
76528,4.66743,5,5,730.063
76849,5,5,5,900.055
