id,x0,x1,x2,fitness-5,fitness-4.5,fitness-1.5,fitness-2.5,fitness-3,fitness-4,fitness-2,fitness-3.5,fitness-1,fitness0,fitness1,fitness1.5,fitness-0.5,fitness0.5,fitness2,fitness4,fitness3.5,fitness2.5,fitness3,fitness5,fitness4.5
55,2.53955,2.34726,0.0657185,3.746,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
241,3.85599,1.42921,-0.295078,NA,110.688,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
478,3.60195,-0.380091,-1.74391,24.232,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
722,3.39444,-0.315085,-1.00402,406.085,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
922,5,-0.281484,-2.47527,719.444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1069,4.34617,-0.877964,-2.50613,768.835,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1342,4.98049,-0.456987,-2.1205,4.503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1560,4.12168,-0.713785,-1.58937,1313.124,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1653,4.88824,-2.16339,-2.71268,-27.978,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1953,5,-2.1036,-4.21732,49.157,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2140,4.94324,-2.54752,-2.79782,-122.12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2240,5,-3.02019,-2.33178,NA,48.176,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2442,3.66186,-4.26618,-2.5253,14.316,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2681,3.25109,-5,-0.66958,NA,NA,1411.544,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2883,3.73136,-5,-2.54109,NA,NA,NA,81.576,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3064,4.22133,-3.50423,-2.11949,NA,NA,NA,NA,115.44,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3214,3.30642,-2.19538,-1.37472,371.784,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3529,4.33537,-1.76182,-3.04327,27.29,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3636,5,-1.68987,-3.44059,266.627,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3869,4.90786,-0.995516,-3.78834,298.742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4013,3.45114,0.596734,-1.84402,8.793,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4284,3.61859,-0.336298,-1.5162,97.504,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4569,3.9371,0.707084,-0.194091,98.327,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4777,3.12534,1.1357,0.326076,NA,NA,NA,NA,-4.373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4809,5,0.164533,-0.549329,140.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5195,4.76629,0.0804996,-1.74374,69.114,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5393,3.50598,-0.285715,-2.89638,36.087,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5567,2.61775,-2.51135,-1.62457,NA,NA,NA,NA,NA,81.935,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5613,2.42524,-2.08381,-1.3495,NA,NA,NA,NA,NA,388.208,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5922,1.75681,-2.37088,-0.639506,NA,NA,NA,183.296,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6036,-0.283132,-3.65646,-0.16399,NA,NA,NA,NA,NA,NA,208.646,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6391,0.461327,-1.88268,-0.287222,NA,NA,NA,94.661,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6437,0.422637,-2.16061,1.07065,NA,NA,NA,-8.286,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6689,1.51285,-2.82832,1.10601,NA,NA,NA,NA,NA,-1.022,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6887,0.713831,-2.61849,0.309568,NA,79.61,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7121,0.840556,-2.78604,0.0630396,NA,9.824,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7354,2.92398,-1.81625,-0.000214232,NA,31.64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
7476,1.8249,-2.21758,0.205456,NA,NA,NA,NA,NA,NA,NA,-11.287,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
