id,x0,x1,x2,fitness-2.5,fitness-3,fitness-4,fitness-1,fitness0.5,fitness0,fitness1.5,fitness1,fitness2,fitness2.5,fitness-1.5,fitness-0.5,fitness3,fitness3.5,fitness5,fitness4,fitness4.5,fitness-2,fitness-3.5
182,4.65918,0.263986,3.92388,154.111,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
285,5,0.575301,5,NA,12.294,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
466,5,1.01924,5,NA,NA,258.363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
621,4.59026,1.01529,4.65549,NA,144.737,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
986,3.46855,1.46106,4.99478,NA,9.205,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1102,5,1.33239,4.36487,NA,NA,NA,972.631,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1294,4.53539,0.869201,4.74948,NA,NA,NA,NA,143.123,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1428,5,-0.890856,4.25848,NA,NA,NA,NA,NA,1074.764,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1712,4.43963,0.208219,3.25359,NA,NA,NA,NA,65.622,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1896,3.53635,-0.857385,4.39441,NA,NA,NA,NA,NA,NA,1.398,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2031,1.84148,-0.0360698,5,NA,NA,NA,NA,NA,NA,425.478,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2342,1.04276,-0.0896063,4.21383,NA,NA,NA,NA,NA,NA,NA,140.36,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2551,1.34151,0.942564,4.18827,NA,NA,NA,NA,NA,NA,118.528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2784,0.167157,-0.0927875,4.89241,NA,NA,NA,NA,NA,NA,NA,385.165,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2888,-0.283411,-0.20364,3.95799,NA,NA,NA,NA,NA,NA,NA,49.927,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3130,-1.75187,-0.247527,3.76289,NA,NA,NA,NA,NA,NA,NA,-95.786,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3361,-1.70121,-1.59348,5,NA,NA,NA,NA,NA,NA,774.728,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3582,-1.1981,0.0537179,5,NA,NA,NA,NA,346.238,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3780,-0.475635,0.631675,5,NA,NA,NA,NA,NA,NA,NA,NA,22.465,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3909,0.284431,0.465211,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,128.347,NA,NA,NA,NA,NA,NA,NA,NA,NA
4013,-0.459644,0.123207,4.428,NA,NA,NA,NA,NA,NA,0.001,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4239,-0.972134,1.66008,5,NA,NA,NA,NA,NA,NA,334.681,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4577,-1.88419,1.70047,4.7092,NA,NA,NA,NA,NA,NA,163.094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4753,-0.655859,2.37838,4.81498,NA,NA,NA,NA,NA,NA,1058.918,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4906,-0.962842,3.151,5,NA,NA,NA,NA,789.131,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5159,-1.37106,3.96339,4.91883,NA,NA,NA,1109.804,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5304,-3.05434,4.6029,4.35115,NA,NA,NA,1262.986,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5431,-3.05432,5,4.8077,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5164.6,NA,NA,NA,NA,NA,NA,NA,NA
5788,-2.33224,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,701.575,NA,NA,NA,NA,NA,NA,NA
5897,-1.54149,4.84067,5,NA,NA,NA,NA,4520.248,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6185,-0.48367,5,5,NA,NA,NA,NA,NA,NA,NA,NA,365.411,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
6291,-0.686507,4.53711,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,174.236,NA,NA,NA,NA,NA,NA
6463,0.0526055,5,3.83177,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.525,NA,NA,NA,NA,NA
6738,-0.524072,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3627.218,NA,NA,NA,NA
6884,-2.66533,4.9055,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1251.185,NA,NA,NA
7094,-0.125198,3.19492,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,839.51,NA,NA,NA,NA,NA
7300,0.905006,3.5098,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.414,NA,NA,NA
7412,0.582913,4.03487,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,37.507,NA,NA,NA,NA
7774,-0.682138,4.80032,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18747.192,NA,NA,NA,NA
7802,-0.761549,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12827.817,NA,NA,NA,NA
8031,1.50353,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1010.768,NA,NA,NA,NA
8339,2.44027,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1676.885,NA,NA,NA,NA
8554,0.636959,4.38236,4.53094,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,62.802,NA,NA
8758,0.961738,3.14883,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,588.256,NA,NA,NA,NA
8863,1.07827,3.14445,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.885,NA,NA,NA,NA
9134,-0.2089,4.27999,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4883.801,NA,NA,NA,NA
9231,0.27845,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3204.658,NA,NA,NA,NA
9453,-0.715221,4.73087,3.6716,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4768.997,NA,NA,NA,NA
9730,0.0256026,5,3.41684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,792.266,NA,NA,NA,NA
9925,0.250522,4.47759,3.37648,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,143.049,NA,NA,NA,NA
10076,-1.18383,4.77481,2.36832,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1447.941,NA,NA,NA,NA
10361,-1.11791,5,3.18745,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-85.737,NA,NA,NA,NA
10521,-1.43767,4.35427,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6531.433,NA,NA,NA,NA
10759,0.442277,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2711.204,NA,NA,NA,NA
10908,0.595686,4.31781,4.59987,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,139.466,NA,NA,NA,NA
11185,-0.00522722,4.08977,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1287.918,NA,NA,NA,NA
11325,-1.27464,2.21186,4.53413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-9.043,NA,NA,NA,NA,NA
11411,-2.0673,2.67536,4.37189,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115.191,NA,NA
11712,-1.14756,3.45933,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,294.265,NA,NA
11798,-0.52953,3.12821,2.97752,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.929,NA,NA
12152,-0.512811,3.25805,2.38739,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,288.856,NA,NA,NA,NA
12326,-0.91441,5,2.33671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1728.797,NA,NA,NA
12410,-0.837788,5,3.38338,NA,NA,NA,NA,NA,NA,NA,NA,NA,1154.955,NA,NA,NA,NA,NA,NA,NA,NA,NA
12768,-2.79675,5,3.9015,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.986,NA,NA,NA
12892,-2.07443,4.76365,4.03379,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,401.655,NA,NA,NA
13164,-1.42,5,3.59267,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,314.239,NA,NA
13222,-1.37147,4.84901,2.83925,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1648.681,NA,NA
13559,-1.45111,3.97485,0.97836,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-2.684,NA,NA,NA,NA,NA,NA
13788,-2.6464,4.57527,2.37941,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,48.837,NA,NA,NA,NA,NA
13804,-3.22722,5,3.69052,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,251.038,NA,NA,NA,NA
14140,-2.01486,4.71728,3.85799,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1769.302,NA,NA,NA,NA
14269,-3.03574,5,4.91528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5430.902,NA,NA,NA,NA
14500,-1.62011,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3724.393,NA,NA,NA
14754,0.313236,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3426.527,NA,NA,NA,NA
14826,-0.944602,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9933.039,NA,NA,NA,NA
15045,-0.682038,4.3078,4.38773,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3364.537,NA,NA,NA,NA
15230,-0.342707,4.15353,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2439.044,NA,NA,NA,NA
15533,0.633121,4.36931,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,677.316,NA,NA,NA,NA
15724,0.640739,5,4.14915,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,669.538,NA,NA,NA,NA
15954,-0.177249,4.96427,4.07303,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2247.243,NA,NA,NA,NA
16070,0.238685,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2705.078,NA,NA,NA,NA
16241,-1.94458,4.73761,3.54082,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,116.478,NA,NA,NA,NA
