id,x0,x1,x2,fitness1.5,fitness3,fitness3.5,fitness5,fitness4.5,fitness4,fitness2.5,fitness0.5,fitness-0.5,fitness-1,fitness-1.5,fitness0,fitness-2,fitness-2.5,fitness2,fitness1
10,3.80379,4.63101,-2.59241,132.52,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
256,3.90738,5,-1.6703,NA,316.95,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
475,4.35625,5,-1.56371,NA,NA,1600.85,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
781,4.73453,5,-2.08743,NA,NA,NA,5418.602,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
937,5,5,-0.825883,NA,NA,NA,12956.822,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1001,5,5,-0.831221,NA,NA,NA,NA,9319.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1248,5,5,-1.99724,NA,NA,NA,5542.976,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1583,5,5,-3.06953,NA,NA,NA,2992.983,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1652,5,5,-2.07801,NA,NA,NA,5068.903,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1975,4.89711,5,-2.99523,NA,NA,NA,4247.633,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2047,4.17073,5,-0.342265,NA,NA,NA,2642.101,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2231,4.31955,4.27003,-0.703088,NA,NA,NA,4860.671,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2404,5,4.38967,-1.5408,NA,NA,NA,4717.197,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2754,5,3.58021,-0.883369,NA,NA,NA,1350.993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2845,5,5,-1.02735,NA,NA,NA,5785.727,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3002,4.69943,4.73428,-0.723486,NA,NA,NA,NA,470.005,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3261,5,5,-0.0783908,NA,NA,NA,NA,2536.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3441,5,5,-0.531479,NA,NA,NA,4028.313,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3788,4.94769,5,-0.492596,NA,NA,NA,3060.06,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3921,4.90348,5,0.474721,NA,NA,NA,3362.225,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4028,4.34938,5,-0.0713721,NA,NA,NA,3466.718,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4307,4.78488,5,1.25654,NA,NA,NA,3006.206,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4405,3.82113,4.28496,-0.338557,NA,NA,NA,1453.418,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4622,4.13641,4.64435,-0.348417,NA,NA,NA,NA,815.876,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
4898,4.73291,5,0.308113,NA,NA,NA,3718.606,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5093,5,5,0.308401,NA,NA,NA,3407.812,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5249,5,5,-0.492921,NA,NA,NA,1937.604,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5406,5,5,-0.934266,NA,NA,NA,10350.159,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
