id,x0,x1,x2,fitness-4,fitness-5,fitness-3,fitness-2,fitness-1
176,-1.40887,4.95498,-1.50103,4582.829,NA,NA,NA,NA
227,-1.40887,4.95498,-1.50103,NA,5009.099,NA,NA,NA
275,-1.40887,4.91226,-1.50103,NA,5469.016,NA,NA,NA
298,-1.40887,4.86305,-1.50103,NA,5778.829,NA,NA,NA
390,-1.40887,4.86305,-1.37288,NA,5995.581,NA,NA,NA
489,-1.40887,4.86305,-1.37288,NA,NA,7086.583,NA,NA
537,-1.40887,4.86305,-1.37288,NA,NA,NA,7561.647,NA
540,-1.40887,4.86305,-1.37288,NA,NA,NA,NA,29627.126
590,-1.40887,4.86305,-1.45359,NA,NA,NA,NA,30375.162
698,-1.43939,4.86305,-1.45359,NA,NA,NA,NA,30399.144
761,-1.43939,4.86305,-1.41447,NA,NA,NA,NA,30662.677
799,-1.43939,4.86305,-1.41447,NA,NA,NA,NA,30786.003
900,-1.41986,4.86305,-1.41447,NA,NA,NA,NA,30853.271
1310,-1.41986,4.86305,-1.41923,NA,NA,NA,NA,30883.77
2407,-1.42114,4.86305,-1.41923,NA,NA,NA,NA,30888.348
2620,-1.42114,4.86305,-1.42585,NA,NA,NA,NA,30901.59
2794,-1.42114,4.85324,-1.42585,NA,NA,NA,NA,30902.284
2870,-1.42114,4.85785,-1.42585,NA,NA,NA,NA,30911.206
3181,-1.42638,4.85785,-1.42585,NA,NA,NA,NA,30916.747
3429,-1.42638,4.85785,-1.42585,NA,NA,NA,NA,30932.68
4108,-1.42638,4.85785,-1.42585,NA,NA,NA,NA,30932.961
7993,-1.42638,4.85785,-2.1141,NA,NA,NA,NA,-11995.046
