id,x0,x1,x2,fitness-0.5,fitness0,fitness-2,fitness-3.5,fitness-3,fitness-1.5,fitness-2.5,fitness-1,fitness0.5,fitness1,fitness5,fitness4,fitness4.5,fitness3.5,fitness3,fitness2
127,-0.310816,-2.03672,4.87988,174.934,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
258,-0.0890779,-2.238,5,NA,953.992,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
455,-1.65169,-0.964911,4.32645,NA,NA,2150.877,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
721,-1.05407,-0.0109253,5,NA,NA,NA,495.548,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
908,-0.588144,-0.905634,4.6817,NA,NA,NA,NA,2778.963,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1099,-0.764973,-2.37308,5,NA,NA,NA,NA,NA,743.387,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1359,-0.332392,-1.98485,5,NA,NA,NA,NA,NA,4202.036,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1597,-0.350801,-0.746098,5,NA,NA,NA,NA,NA,NA,2457.57,NA,NA,NA,NA,NA,NA,NA,NA,NA
1781,-0.0250235,-1.25661,5,3079.573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
1839,-0.316374,0.452844,5,NA,1130.306,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2190,0.492296,-0.957914,5,NA,NA,NA,NA,NA,NA,NA,1697.244,NA,NA,NA,NA,NA,NA,NA,NA
2320,-1.47449,-0.644231,5,NA,10611.098,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2477,-2.09468,-0.798333,5,8518.47,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2768,-2.94638,-1.48925,5,NA,NA,NA,NA,NA,4930.107,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2813,-1.28788,-0.677773,5,NA,NA,NA,NA,NA,NA,NA,5144.938,NA,NA,NA,NA,NA,NA,NA,NA
3014,-1.87388,-0.293282,4.88527,NA,NA,NA,NA,NA,4750.928,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3239,-3.16523,0.210898,4.85744,NA,NA,NA,NA,NA,NA,NA,774.61,NA,NA,NA,NA,NA,NA,NA,NA
3571,-2.8945,-0.224031,5,NA,NA,NA,NA,NA,NA,718.642,NA,NA,NA,NA,NA,NA,NA,NA,NA
3657,-0.759371,0.479215,5,NA,NA,1730.589,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
3961,-0.689655,-0.124589,5,NA,NA,NA,NA,NA,NA,NA,4153.432,NA,NA,NA,NA,NA,NA,NA,NA
4100,-0.826322,0.49343,5,NA,NA,NA,NA,NA,NA,NA,3298.595,NA,NA,NA,NA,NA,NA,NA,NA
