id,x0,x1,x2,fitness7.5,fitness7,fitness9,fitness8.5,fitness8,fitness6.5,fitness9.5,fitness6
79,8.29294,8.37169,6.16052,0.411,NA,NA,NA,NA,NA,NA,NA
337,7.55576,8.74124,7.85505,NA,0.698,NA,NA,NA,NA,NA,NA
418,8.44314,7.65051,7.72657,NA,NA,0.666,NA,NA,NA,NA,NA
793,7.58074,7.11527,8.04373,NA,NA,NA,0.759,NA,NA,NA,NA
880,7.78309,6.97617,7.85377,0.85,NA,NA,NA,NA,NA,NA,NA
1165,8.7643,7.09948,7.94508,NA,0.677,NA,NA,NA,NA,NA,NA
1351,7.87337,6.9774,6.75768,0.694,NA,NA,NA,NA,NA,NA,NA
1452,7.21865,6.85487,7.10205,0.693,NA,NA,NA,NA,NA,NA,NA
1700,7.99593,7.24372,7.63354,0.926,NA,NA,NA,NA,NA,NA,NA
1868,6.764,7.61517,7.11103,NA,0.649,NA,NA,NA,NA,NA,NA
2063,6.44667,7.11319,6.86372,0.47,NA,NA,NA,NA,NA,NA,NA
2335,6.91753,7.25564,8.00152,0.797,NA,NA,NA,NA,NA,NA,NA
2467,7.16603,7.61491,7.18911,NA,NA,NA,NA,0.876,NA,NA,NA
2746,7.78093,6.64858,7.37758,NA,NA,NA,NA,0.71,NA,NA,NA
2982,8.39473,7.22041,7.97459,0.845,NA,NA,NA,NA,NA,NA,NA
3159,8.24307,8.26064,8.21022,0.827,NA,NA,NA,NA,NA,NA,NA
3288,7.46022,7.05096,6.96991,NA,NA,NA,NA,0.745,NA,NA,NA
3437,7.19303,6.90905,7.60382,NA,NA,0.538,NA,NA,NA,NA,NA
3733,8.01098,7.8839,7.7921,NA,NA,NA,NA,0.969,NA,NA,NA
3860,7.44014,7.66903,7.64498,NA,NA,NA,0.815,NA,NA,NA,NA
4069,8.04399,7.20816,9.28347,NA,NA,NA,0.501,NA,NA,NA,NA
4331,8.75041,8.16485,8.79622,0.592,NA,NA,NA,NA,NA,NA,NA
4419,8.08413,6.849,7.5019,0.807,NA,NA,NA,NA,NA,NA,NA
4654,7.93516,7.26456,7.88408,NA,0.829,NA,NA,NA,NA,NA,NA
4915,8.16151,7.42346,7.74617,NA,0.833,NA,NA,NA,NA,NA,NA
5174,8.18629,7.89377,8.49234,NA,NA,NA,NA,0.788,NA,NA,NA
5334,6.68623,7.2481,8.63188,NA,NA,NA,NA,0.579,NA,NA,NA
5489,7.63212,7.31782,8.02808,NA,NA,0.688,NA,NA,NA,NA,NA
5657,7.20863,7.52313,7.37722,NA,NA,NA,NA,0.911,NA,NA,NA
5914,7.66636,7.17505,7.7147,NA,NA,NA,NA,0.897,NA,NA,NA
6041,8.08593,7.43063,7.55245,NA,NA,NA,NA,0.946,NA,NA,NA
6275,8.41801,7.7501,7.17715,0.812,NA,NA,NA,NA,NA,NA,NA
6592,8.13216,7.31674,7.38898,NA,NA,NA,NA,0.88,NA,NA,NA
6722,7.70482,7.7799,7.7783,NA,NA,NA,0.855,NA,NA,NA,NA
6814,7.28191,7.81419,8.3702,NA,0.749,NA,NA,NA,NA,NA,NA
7020,7.74919,7.60552,7.55076,0.967,NA,NA,NA,NA,NA,NA,NA
7275,7.94739,6.98627,7.8514,0.841,NA,NA,NA,NA,NA,NA,NA
7444,6.58749,7.93096,8.24279,NA,NA,NA,NA,0.655,NA,NA,NA
7728,8.18767,8.36112,7.95745,NA,NA,NA,0.779,NA,NA,NA,NA
7912,7.72519,6.98029,8.95708,0.653,NA,NA,NA,NA,NA,NA,NA
8066,7.93921,6.54087,8.58076,NA,NA,NA,NA,0.586,NA,NA,NA
8389,8.11504,6.70251,7.49082,NA,0.705,NA,NA,NA,NA,NA,NA
8426,7.60017,7.61721,7.86941,NA,NA,NA,NA,NA,0.677,NA,NA
8625,7.5786,6.7175,7.13133,0.699,NA,NA,NA,NA,NA,NA,NA
8805,8.13426,7.43171,7.03755,0.82,NA,NA,NA,NA,NA,NA,NA
9177,7.88026,8.07113,7.92999,0.952,NA,NA,NA,NA,NA,NA,NA
9361,6.67349,8.09033,8.10887,NA,NA,NA,NA,NA,NA,0.407,NA
9484,7.32703,7.64065,7.85739,NA,NA,NA,0.897,NA,NA,NA,NA
9642,7.73382,7.26377,7.06111,NA,NA,NA,0.761,NA,NA,NA,NA
9976,6.50301,7.84477,7.87539,NA,NA,NA,NA,0.686,NA,NA,NA
10109,7.32524,8.32449,8.26167,NA,NA,NA,NA,0.824,NA,NA,NA
10219,7.36086,7.99498,8.3456,NA,NA,NA,0.761,NA,NA,NA,NA
10466,7.11389,8.54755,7.07001,NA,NA,0.434,NA,NA,NA,NA,NA
10691,7.35698,7.79298,7.97589,NA,NA,0.66,NA,NA,NA,NA,NA
10847,7.74553,8.21472,7.36363,NA,NA,0.708,NA,NA,NA,NA,NA
11141,7.98284,7.6331,8.15796,NA,NA,0.722,NA,NA,NA,NA,NA
11329,8.73736,7.11679,7.82019,NA,NA,NA,0.678,NA,NA,NA,NA
11416,8.48993,7.81104,8.15731,NA,NA,NA,0.701,NA,NA,NA,NA
11797,7.19698,6.90142,8.30368,NA,NA,NA,0.679,NA,NA,NA,NA
11813,7.24975,6.6675,8.52183,0.585,NA,NA,NA,NA,NA,NA,NA
12159,8.12583,7.83724,8.29253,NA,NA,NA,0.84,NA,NA,NA,NA
12262,7.2613,8.02199,7.61356,0.898,NA,NA,NA,NA,NA,NA,NA
12561,5.99772,7.90348,7.86212,NA,NA,NA,NA,0.516,NA,NA,NA
12783,6.86227,7.92433,6.85036,0.668,NA,NA,NA,NA,NA,NA,NA
12986,7.84183,8.09872,8.04875,NA,NA,NA,0.863,NA,NA,NA,NA
13185,7.19096,8.00461,8.29895,NA,NA,NA,NA,0.85,NA,NA,NA
13210,7.8771,8.25757,8.48509,NA,NA,NA,NA,0.785,NA,NA,NA
13512,7.20815,8.16315,8.15419,NA,NA,0.671,NA,NA,NA,NA,NA
13604,8.82524,7.65885,6.94952,NA,NA,NA,NA,0.671,NA,NA,NA
13812,8.18008,7.72133,7.15569,NA,NA,NA,NA,0.878,NA,NA,NA
14036,8.25373,6.94659,6.4059,0.502,NA,NA,NA,NA,NA,NA,NA
14292,7.95827,7.62377,7.64348,NA,0.916,NA,NA,NA,NA,NA,NA
14515,9.20277,7.56598,7.46553,NA,NA,NA,NA,0.643,NA,NA,NA
14632,8.19169,7.14915,8.44609,NA,NA,NA,NA,0.785,NA,NA,NA
14934,7.80933,7.95559,7.81536,NA,0.915,NA,NA,NA,NA,NA,NA
15073,7.34191,7.21389,7.67868,NA,NA,NA,NA,0.892,NA,NA,NA
15240,8.21122,7.70017,7.92148,0.937,NA,NA,NA,NA,NA,NA,NA
15556,7.65684,7.28864,8.29218,NA,NA,NA,0.805,NA,NA,NA,NA
15682,6.7862,7.67738,7.47094,NA,NA,NA,0.745,NA,NA,NA,NA
15922,7.03843,8.80198,7.29801,0.677,NA,NA,NA,NA,NA,NA,NA
16059,7.52841,8.14448,8.04105,NA,NA,NA,0.826,NA,NA,NA,NA
16383,8.40965,7.70249,8.20074,NA,NA,NA,0.8,NA,NA,NA,NA
16565,8.08595,8.2893,9.14856,0.578,NA,NA,NA,NA,NA,NA,NA
