id,x0,x1,x2,fitness7.5,fitness8,fitness8.5,fitness7,fitness6.5,fitness9,fitness6
185,6.79708,7.36991,6.84646,0.638,NA,NA,NA,NA,NA,NA
269,7.94579,5.9219,7.11689,NA,0.419,NA,NA,NA,NA,NA
557,8.08959,7.80799,7.43561,0.949,NA,NA,NA,NA,NA,NA
635,7.90356,7.73825,7.36411,NA,NA,0.867,NA,NA,NA,NA
932,7.75931,8.08397,7.99604,NA,NA,0.861,NA,NA,NA,NA
1181,8.05914,8.1993,8.04637,0.898,NA,NA,NA,NA,NA,NA
1213,6.98462,7.96403,7.74213,0.875,NA,NA,NA,NA,NA,NA
1494,7.37537,7.55359,8.03445,NA,NA,NA,0.867,NA,NA,NA
1651,7.50105,8.06203,7.57231,NA,NA,NA,0.812,NA,NA,NA
1884,8.40271,8.09395,7.8317,NA,NA,NA,0.823,NA,NA,NA
2034,7.01089,7.30203,7.7996,NA,0.859,NA,NA,NA,NA,NA
2303,8.47288,7.97646,8.08921,NA,NA,NA,0.791,NA,NA,NA
2478,8.1229,7.88615,7.82093,0.955,NA,NA,NA,NA,NA,NA
2644,8.14495,7.4042,8.05998,NA,0.874,NA,NA,NA,NA,NA
2965,8.81161,7.8596,8.03921,NA,0.761,NA,NA,NA,NA,NA
3118,7.61213,7.68613,7.40758,NA,0.975,NA,NA,NA,NA,NA
3379,8.01228,7.4076,6.54949,0.686,NA,NA,NA,NA,NA,NA
3431,8.15929,7.23953,7.63929,NA,NA,NA,0.852,NA,NA,NA
3629,8.25341,7.04563,7.51206,0.816,NA,NA,NA,NA,NA,NA
3855,7.86281,7.44468,7.24661,0.934,NA,NA,NA,NA,NA,NA
4056,8.06857,7.54353,8.14671,NA,0.91,NA,NA,NA,NA,NA
4255,8.39025,7.66227,7.55891,NA,0.87,NA,NA,NA,NA,NA
4575,7.75229,7.69446,8.05606,NA,NA,NA,0.923,NA,NA,NA
4744,8.03842,7.20578,8.48301,0.817,NA,NA,NA,NA,NA,NA
4814,7.21975,8.09211,7.81911,0.899,NA,NA,NA,NA,NA,NA
5121,8.08075,7.11469,7.90168,NA,0.852,NA,NA,NA,NA,NA
5212,6.94739,7.62993,7.09355,0.793,NA,NA,NA,NA,NA,NA
5543,7.24831,8.31514,7.81686,NA,NA,0.783,NA,NA,NA,NA
5661,8.01273,7.55193,8.57233,0.846,NA,NA,NA,NA,NA,NA
5821,7.5859,8.18633,8.03637,0.924,NA,NA,NA,NA,NA,NA
6084,7.10555,8.26208,7.89163,NA,0.847,NA,NA,NA,NA,NA
6237,7.31903,8.36684,7.34975,NA,0.835,NA,NA,NA,NA,NA
6423,7.16393,8.20433,7.59508,NA,NA,NA,0.838,NA,NA,NA
6644,8.22483,8.27596,7.75336,0.855,NA,NA,NA,NA,NA,NA
6931,8.38014,7.92278,7.6092,0.876,NA,NA,NA,NA,NA,NA
7081,8.6088,8.41515,7.72219,0.755,NA,NA,NA,NA,NA,NA
7389,8.46854,7.78719,7.37454,0.861,NA,NA,NA,NA,NA,NA
7424,7.82912,7.33446,7.34504,NA,0.897,NA,NA,NA,NA,NA
7762,7.55585,7.21939,8.05052,NA,0.881,NA,NA,NA,NA,NA
7958,7.79686,6.70274,8.00925,0.769,NA,NA,NA,NA,NA,NA
8118,6.99589,7.31197,8.20413,NA,0.791,NA,NA,NA,NA,NA
8229,7.647,7.78393,8.42957,NA,NA,NA,0.829,NA,NA,NA
8529,7.9706,7.67074,7.45999,NA,0.971,NA,NA,NA,NA,NA
8746,7.91597,8.17908,6.82152,NA,0.733,NA,NA,NA,NA,NA
8951,7.73118,8.05379,7.7387,NA,0.959,NA,NA,NA,NA,NA
9011,7.43546,7.93334,8.79656,NA,0.783,NA,NA,NA,NA,NA
9307,7.51156,7.47755,8.29086,NA,NA,NA,NA,0.7,NA,NA
9439,8.11791,7.4239,7.50047,NA,0.938,NA,NA,NA,NA,NA
9754,7.44949,7.9996,7.38034,NA,NA,NA,0.899,NA,NA,NA
9929,8.09814,7.84098,8.46969,0.857,NA,NA,NA,NA,NA,NA
10076,8.17322,7.5172,7.89195,0.94,NA,NA,NA,NA,NA,NA
10209,7.81144,7.90723,6.9886,0.879,NA,NA,NA,NA,NA,NA
10580,7.91826,7.7906,7.54619,NA,0.979,NA,NA,NA,NA,NA
10688,8.05478,7.41497,7.22734,0.9,NA,NA,NA,NA,NA,NA
10933,7.21922,7.76403,7.05836,0.855,NA,NA,NA,NA,NA,NA
11026,7.48648,8.69605,7.60109,0.821,NA,NA,NA,NA,NA,NA
11269,8.31977,7.99053,8.28476,0.85,NA,NA,NA,NA,NA,NA
11446,7.81002,8.05889,7.90382,NA,0.949,NA,NA,NA,NA,NA
11744,7.62336,7.46229,8.38971,NA,0.882,NA,NA,NA,NA,NA
12000,7.95196,7.22796,8.08325,0.904,NA,NA,NA,NA,NA,NA
12163,7.71411,8.41162,8.20493,0.836,NA,NA,NA,NA,NA,NA
12399,7.45218,8.95387,7.68717,NA,NA,0.658,NA,NA,NA,NA
12428,7.75554,7.59857,7.41813,NA,0.961,NA,NA,NA,NA,NA
12711,7.3016,8.23811,8.18724,NA,NA,NA,0.694,NA,NA,NA
12960,7.62514,7.11306,7.07488,0.826,NA,NA,NA,NA,NA,NA
13021,7.71213,8.532,7.0919,NA,0.788,NA,NA,NA,NA,NA
13296,7.51183,8.36123,7.32199,NA,NA,0.752,NA,NA,NA,NA
13506,7.14999,7.97333,7.61229,NA,NA,0.788,NA,NA,NA,NA
13783,7.41305,7.71152,8.8359,NA,0.726,NA,NA,NA,NA,NA
13809,7.50012,8.06047,8.01772,0.947,NA,NA,NA,NA,NA,NA
14149,8.18722,8.08162,8.2412,0.864,NA,NA,NA,NA,NA,NA
14217,7.52978,8.17028,7.91038,NA,0.925,NA,NA,NA,NA,NA
14411,7.43406,7.00408,7.60132,NA,NA,NA,NA,NA,0.668,NA
14632,7.64802,7.42134,7.87627,NA,NA,NA,NA,NA,0.778,NA
14876,8.06431,7.72111,8.08696,NA,0.914,NA,NA,NA,NA,NA
15101,7.68254,7.84635,8.07945,0.968,NA,NA,NA,NA,NA,NA
15373,7.88202,7.4737,7.9506,NA,0.951,NA,NA,NA,NA,NA
15565,7.64392,8.28767,8.00187,NA,NA,NA,0.854,NA,NA,NA
15633,8.18103,8.24606,7.4298,NA,NA,NA,0.838,NA,NA,NA
15883,7.77611,7.64758,7.72955,NA,NA,NA,0.896,NA,NA,NA
16010,7.87643,7.75259,7.5858,NA,0.957,NA,NA,NA,NA,NA
16294,7.88852,7.24032,7.05948,NA,NA,0.777,NA,NA,NA,NA
16557,8.41695,7.2746,7.2843,NA,0.804,NA,NA,NA,NA,NA
16765,7.31156,7.12852,7.22119,NA,NA,NA,0.777,NA,NA,NA
16906,7.56662,7.37285,8.1192,NA,0.921,NA,NA,NA,NA,NA
17037,7.36828,8.52661,8.23727,NA,NA,0.697,NA,NA,NA,NA
17343,7.94788,7.83594,7.63732,0.984,NA,NA,NA,NA,NA,NA
17486,7.07156,7.89078,7.69733,0.887,NA,NA,NA,NA,NA,NA
17655,7.15351,7.26241,7.99617,NA,NA,NA,0.794,NA,NA,NA
17905,7.35148,8.20292,7.0976,0.831,NA,NA,NA,NA,NA,NA
18026,7.20655,7.13937,7.40401,0.825,NA,NA,NA,NA,NA,NA
18328,7.61954,7.6617,7.23266,0.947,NA,NA,NA,NA,NA,NA
18418,7.83674,8.54721,6.97135,NA,NA,NA,0.696,NA,NA,NA
18711,8.67333,8.12687,7.3812,NA,0.769,NA,NA,NA,NA,NA
18886,7.89832,7.69563,7.25711,NA,0.912,NA,NA,NA,NA,NA
19109,8.09221,7.58372,8.40613,0.879,NA,NA,NA,NA,NA,NA
19374,8.02782,7.85072,8.61392,0.832,NA,NA,NA,NA,NA,NA
19491,8.09226,7.7195,8.13313,NA,0.934,NA,NA,NA,NA,NA
19680,8.36336,7.36772,7.88086,NA,0.855,NA,NA,NA,NA,NA
19952,9.00566,8.30213,7.47765,0.676,NA,NA,NA,NA,NA,NA
20027,7.91558,7.61478,7.8164,NA,0.986,NA,NA,NA,NA,NA
20207,8.05705,8.16957,7.32818,0.873,NA,NA,NA,NA,NA,NA
20558,7.88719,7.58429,8.07068,NA,0.959,NA,NA,NA,NA,NA
20629,8.32754,8.07382,7.63465,0.896,NA,NA,NA,NA,NA,NA
20892,7.01912,8.52655,7.82482,0.778,NA,NA,NA,NA,NA,NA
21011,6.73604,7.62036,7.85069,NA,0.757,NA,NA,NA,NA,NA
21396,7.45725,8.04371,7.03669,0.838,NA,NA,NA,NA,NA,NA
21580,7.73325,7.63745,7.12385,NA,0.916,NA,NA,NA,NA,NA
21645,7.33889,7.26612,6.91598,0.796,NA,NA,NA,NA,NA,NA
21946,7.80555,8.35327,8.16686,NA,0.872,NA,NA,NA,NA,NA
22140,7.77479,8.13373,7.40514,0.926,NA,NA,NA,NA,NA,NA
22318,7.29008,7.87063,8.20184,0.901,NA,NA,NA,NA,NA,NA
22558,7.93706,7.72613,7.83455,NA,NA,NA,0.924,NA,NA,NA
22628,8.43137,7.43195,8.26837,0.815,NA,NA,NA,NA,NA,NA
22976,7.82568,7.86333,7.84973,NA,NA,NA,0.932,NA,NA,NA
23055,6.34805,8.19178,8.0749,0.588,NA,NA,NA,NA,NA,NA
23303,7.40538,7.99555,7.76737,0.95,NA,NA,NA,NA,NA,NA
23554,7.84367,8.38728,8.53479,0.764,NA,NA,NA,NA,NA,NA
23627,7.54571,7.94469,7.41037,NA,0.954,NA,NA,NA,NA,NA
23889,7.93417,7.32463,7.67363,0.941,NA,NA,NA,NA,NA,NA
24024,8.31556,8.13995,7.55928,0.874,NA,NA,NA,NA,NA,NA
24261,6.76206,8.13644,7.74561,0.778,NA,NA,NA,NA,NA,NA
24455,8.3408,7.2872,7.80653,0.875,NA,NA,NA,NA,NA,NA
24742,7.74094,7.29509,7.28806,NA,NA,NA,0.874,NA,NA,NA
24944,7.0558,7.91239,7.21772,0.847,NA,NA,NA,NA,NA,NA
25118,6.7256,8.27707,7.89054,NA,0.713,NA,NA,NA,NA,NA
25260,7.3814,8.39094,7.63348,NA,0.851,NA,NA,NA,NA,NA
25595,7.12103,7.44938,8.0604,NA,0.876,NA,NA,NA,NA,NA
25789,7.801,7.55254,7.91157,0.971,NA,NA,NA,NA,NA,NA
25855,8.42413,7.78759,7.48139,NA,NA,NA,0.82,NA,NA,NA
26046,8.29011,8.55552,8.69348,0.641,NA,NA,NA,NA,NA,NA
26326,7.24766,7.93202,7.90152,NA,0.891,NA,NA,NA,NA,NA
26441,7.44976,7.20594,7.41002,0.875,NA,NA,NA,NA,NA,NA
26700,7.07445,7.87513,7.79926,0.888,NA,NA,NA,NA,NA,NA
26885,8.14883,7.96469,7.42107,0.919,NA,NA,NA,NA,NA,NA
27176,8.13331,7.62905,6.97404,NA,0.825,NA,NA,NA,NA,NA
27311,8.26398,7.3048,8.69534,0.744,NA,NA,NA,NA,NA,NA
27419,7.87495,7.45631,7.69411,0.957,NA,NA,NA,NA,NA,NA
27624,8.01781,7.59055,7.78554,NA,NA,0.879,NA,NA,NA,NA
27960,8.02164,7.97419,8.09906,NA,0.934,NA,NA,NA,NA,NA
28113,8.64473,8.00956,7.71388,0.831,NA,NA,NA,NA,NA,NA
28324,8.14334,7.71043,7.60723,NA,0.954,NA,NA,NA,NA,NA
28432,7.99442,7.17187,7.61542,0.919,NA,NA,NA,NA,NA,NA
28697,7.96013,6.77363,7.52122,0.791,NA,NA,NA,NA,NA,NA
28829,7.48045,7.50389,7.63777,0.979,NA,NA,NA,NA,NA,NA
29010,8.16556,7.74479,8.08283,0.93,NA,NA,NA,NA,NA,NA
29375,7.71406,8.36479,7.8273,0.914,NA,NA,NA,NA,NA,NA
29552,7.7152,7.55455,8.78891,0.795,NA,NA,NA,NA,NA,NA
29719,8.46396,7.87187,7.93402,0.837,NA,NA,NA,NA,NA,NA
29999,8.27949,7.48996,8.32599,NA,NA,0.794,NA,NA,NA,NA
30098,7.91184,8.08965,8.42671,NA,0.861,NA,NA,NA,NA,NA
30206,7.85268,7.6024,8.34719,NA,NA,NA,0.793,NA,NA,NA
30462,7.32323,8.49185,7.66635,0.853,NA,NA,NA,NA,NA,NA
30757,7.43709,7.95033,8.148,0.908,NA,NA,NA,NA,NA,NA
30927,7.44478,8.41435,7.82761,0.891,NA,NA,NA,NA,NA,NA
31080,7.74616,8.15577,8.08271,NA,NA,0.854,NA,NA,NA,NA
31235,7.03348,8.2599,8.30205,NA,0.777,NA,NA,NA,NA,NA
31461,7.51593,8.05093,7.88605,NA,NA,NA,NA,0.719,NA,NA
31610,7.5775,8.33163,8.17318,NA,NA,NA,0.797,NA,NA,NA
31855,7.22905,8.23475,7.32054,NA,0.849,NA,NA,NA,NA,NA
32006,8.0475,8.40997,7.98853,0.835,NA,NA,NA,NA,NA,NA
32265,8.48252,7.42046,8.21107,NA,NA,NA,0.762,NA,NA,NA
32438,8.83088,8.07862,7.8265,NA,0.747,NA,NA,NA,NA,NA
32666,7.6136,7.76321,7.44609,NA,0.982,NA,NA,NA,NA,NA
32879,7.24262,7.37039,7.81193,NA,NA,NA,0.822,NA,NA,NA
33196,7.69694,7.95533,7.89472,NA,NA,0.89,NA,NA,NA,NA
33265,7.27649,7.62186,7.56065,NA,NA,0.898,NA,NA,NA,NA
33568,7.58001,7.48864,7.23207,NA,NA,0.876,NA,NA,NA,NA
33690,7.84073,7.88327,7.07493,0.903,NA,NA,NA,NA,NA,NA
33822,8.3217,7.98796,7.89153,0.907,NA,NA,NA,NA,NA,NA
34085,7.84099,6.98016,7.72656,NA,NA,NA,0.827,NA,NA,NA
34338,7.02219,8.01785,7.82372,0.877,NA,NA,NA,NA,NA,NA
34532,7.78618,9.71438,7.85896,NA,0.523,NA,NA,NA,NA,NA
34706,7.79512,7.97416,7.67684,NA,NA,NA,0.923,NA,NA,NA
34916,8.09543,7.60732,7.44861,0.954,NA,NA,NA,NA,NA,NA
35001,7.71141,7.34567,7.21813,NA,NA,0.857,NA,NA,NA,NA
35293,7.20852,7.12375,8.33028,0.799,NA,NA,NA,NA,NA,NA
35567,7.53632,7.25867,7.20227,NA,0.894,NA,NA,NA,NA,NA
35620,7.67403,7.60675,7.20867,0.944,NA,NA,NA,NA,NA,NA
35946,7.94381,7.32457,7.65166,NA,NA,NA,0.856,NA,NA,NA
36147,8.17036,7.35957,8.44235,NA,NA,0.723,NA,NA,NA,NA
36263,7.89477,8.61874,7.57613,NA,NA,NA,NA,NA,0.624,NA
36579,8.11332,6.93781,8.12651,0.804,NA,NA,NA,NA,NA,NA
36752,7.87388,7.72578,7.55642,NA,NA,NA,0.867,NA,NA,NA
36972,7.40915,7.68019,7.34347,0.942,NA,NA,NA,NA,NA,NA
37047,7.90156,7.61067,7.46134,0.97,NA,NA,NA,NA,NA,NA
37392,8.76787,7.9348,8.21292,NA,0.744,NA,NA,NA,NA,NA
37532,7.50966,7.90775,8.18108,NA,NA,NA,0.88,NA,NA,NA
37709,7.95842,7.65809,7.04765,NA,0.89,NA,NA,NA,NA,NA
37922,7.03757,8.15326,8.29828,NA,NA,NA,0.733,NA,NA,NA
38054,8.06773,8.54761,8.11785,0.818,NA,NA,NA,NA,NA,NA
38238,8.1694,8.18125,8.18909,NA,0.851,NA,NA,NA,NA,NA
38550,8.32829,8.33104,7.73245,0.834,NA,NA,NA,NA,NA,NA
38694,8.10414,7.65478,8.55493,NA,0.833,NA,NA,NA,NA,NA
38873,8.31001,7.84684,7.89922,0.92,NA,NA,NA,NA,NA,NA
39126,8.54848,7.73403,8.33134,0.79,NA,NA,NA,NA,NA,NA
39262,8.44135,7.7911,8.48935,NA,NA,NA,0.716,NA,NA,NA
39486,8.85436,7.66247,8.28664,0.724,NA,NA,NA,NA,NA,NA
39724,8.18341,7.86225,8.31165,0.882,NA,NA,NA,NA,NA,NA
39859,7.69066,8.4347,6.98768,0.793,NA,NA,NA,NA,NA,NA
40194,7.58565,7.88227,8.00747,NA,NA,NA,0.901,NA,NA,NA
40229,7.67475,7.82299,7.60955,NA,0.978,NA,NA,NA,NA,NA
40588,7.63689,7.89809,7.6668,NA,0.962,NA,NA,NA,NA,NA
40601,7.29202,8.35693,7.86109,NA,0.877,NA,NA,NA,NA,NA
