x0,x1,x2,fitness
-5.0,-5.0,-5.0,-22.988
-5.0,-5.0,-4.5,21.826
-5.0,-5.0,-4.0,-23.535
-5.0,-5.0,-3.5,21.337
-5.0,-5.0,-3.0,-29.21
-5.0,-5.0,-2.5,28.927
-5.0,-5.0,-2.0,-49.834
-5.0,-5.0,-1.5,97.037
-5.0,-5.0,-1.0,-65.523
-5.0,-5.0,-0.5,-20.845
-5.0,-5.0,0.0,36.044
-5.0,-5.0,0.5,-14.074
-5.0,-5.0,1.0,14.418
-5.0,-5.0,1.5,-9.565
-5.0,-5.0,2.0,6.653
-5.0,-5.0,2.5,-7.43
-5.0,-5.0,3.0,1.824
-5.0,-5.0,3.5,-5.918
-5.0,-5.0,4.0,-2.303
-5.0,-5.0,4.5,-4.37
-5.0,-5.0,5.0,78.059
-5.0,-4.5,-5.0,21.826
-5.0,-4.5,-4.5,-20.723
-5.0,-4.5,-4.0,22.345
-5.0,-4.5,-3.5,-20.259
-5.0,-4.5,-3.0,27.734
-5.0,-4.5,-2.5,-27.465
-5.0,-4.5,-2.0,47.315
-5.0,-4.5,-1.5,-92.132
-5.0,-4.5,-1.0,62.211
-5.0,-4.5,-0.5,19.791
-5.0,-4.5,0.0,-34.222
-5.0,-4.5,0.5,13.362
-5.0,-4.5,1.0,-13.689
-5.0,-4.5,1.5,9.081
-5.0,-4.5,2.0,-6.317
-5.0,-4.5,2.5,7.054
-5.0,-4.5,3.0,-1.732
-5.0,-4.5,3.5,5.619
-5.0,-4.5,4.0,2.187
-5.0,-4.5,4.5,4.149
-5.0,-4.5,5.0,-74.114
-5.0,-4.0,-5.0,-23.535
-5.0,-4.0,-4.5,22.345
-5.0,-4.0,-4.0,-24.094
-5.0,-4.0,-3.5,21.845
-5.0,-4.0,-3.0,-29.905
-5.0,-4.0,-2.5,29.615
-5.0,-4.0,-2.0,-51.019
-5.0,-4.0,-1.5,99.344
-5.0,-4.0,-1.0,-67.081
-5.0,-4.0,-0.5,-21.34
-5.0,-4.0,0.0,36.901
-5.0,-4.0,0.5,-14.408
-5.0,-4.0,1.0,14.761
-5.0,-4.0,1.5,-9.792
-5.0,-4.0,2.0,6.811
-5.0,-4.0,2.5,-7.606
-5.0,-4.0,3.0,1.868
-5.0,-4.0,3.5,-6.059
-5.0,-4.0,4.0,-2.358
-5.0,-4.0,4.5,-4.474
-5.0,-4.0,5.0,79.915
-5.0,-3.5,-5.0,21.337
-5.0,-3.5,-4.5,-20.259
-5.0,-3.5,-4.0,21.845
-5.0,-3.5,-3.5,-19.805
-5.0,-3.5,-3.0,27.113
-5.0,-3.5,-2.5,-26.85
-5.0,-3.5,-2.0,46.255
-5.0,-3.5,-1.5,-90.069
-5.0,-3.5,-1.0,60.818
-5.0,-3.5,-0.5,19.348
-5.0,-3.5,0.0,-33.455
-5.0,-3.5,0.5,13.063
-5.0,-3.5,1.0,-13.383
-5.0,-3.5,1.5,8.878
-5.0,-3.5,2.0,-6.175
-5.0,-3.5,2.5,6.896
-5.0,-3.5,3.0,-1.693
-5.0,-3.5,3.5,5.493
-5.0,-3.5,4.0,2.138
-5.0,-3.5,4.5,4.056
-5.0,-3.5,5.0,-72.454
-5.0,-3.0,-5.0,-29.21
-5.0,-3.0,-4.5,27.734
-5.0,-3.0,-4.0,-29.905
-5.0,-3.0,-3.5,27.113
-5.0,-3.0,-3.0,-37.117
-5.0,-3.0,-2.5,36.757
-5.0,-3.0,-2.0,-63.323
-5.0,-3.0,-1.5,123.303
-5.0,-3.0,-1.0,-83.259
-5.0,-3.0,-0.5,-26.487
-5.0,-3.0,0.0,45.8
-5.0,-3.0,0.5,-17.883
-5.0,-3.0,1.0,18.321
