x0,x1,x2,fitness
0.5,0.5,0.5,-0.604
0.5,0.5,1.0,-0.403
0.5,0.5,1.5,-0.666
0.5,0.5,2.0,-0.201
0.5,0.5,2.5,-0.316
0.5,0.5,3.0,-0.736
0.5,0.5,3.5,-0.415
0.5,0.5,4.0,-0.082
0.5,0.5,4.5,-0.196
0.5,0.5,5.0,-0.528
0.5,0.5,5.5,-0.727
0.5,0.5,6.0,-0.67
0.5,0.5,6.5,-0.446
0.5,0.5,7.0,-0.212
0.5,0.5,7.5,-0.081
0.5,0.5,8.0,-0.092
0.5,0.5,8.5,-0.217
0.5,0.5,9.0,-0.396
0.5,0.5,9.5,-0.569
0.5,0.5,10.0,-0.689
0.5,0.5,10.5,-0.735
0.5,1.0,0.5,-0.403
0.5,1.0,1.0,-0.201
0.5,1.0,1.5,-0.465
0.5,1.0,2.0,0.0
0.5,1.0,2.5,-0.115
0.5,1.0,3.0,-0.535
0.5,1.0,3.5,-0.214
0.5,1.0,4.0,0.12
0.5,1.0,4.5,0.005
0.5,1.0,5.0,-0.327
0.5,1.0,5.5,-0.526
0.5,1.0,6.0,-0.469
0.5,1.0,6.5,-0.245
0.5,1.0,7.0,-0.01
0.5,1.0,7.5,0.12
0.5,1.0,8.0,0.109
0.5,1.0,8.5,-0.016
0.5,1.0,9.0,-0.195
0.5,1.0,9.5,-0.367
0.5,1.0,10.0,-0.488
0.5,1.0,10.5,-0.534
0.5,1.5,0.5,-0.666
0.5,1.5,1.0,-0.465
0.5,1.5,1.5,-0.729
0.5,1.5,2.0,-0.264
0.5,1.5,2.5,-0.379
0.5,1.5,3.0,-0.798
0.5,1.5,3.5,-0.478
0.5,1.5,4.0,-0.144
0.5,1.5,4.5,-0.259
0.5,1.5,5.0,-0.591
0.5,1.5,5.5,-0.79
0.5,1.5,6.0,-0.733
0.5,1.5,6.5,-0.509
0.5,1.5,7.0,-0.274
0.5,1.5,7.5,-0.144
0.5,1.5,8.0,-0.155
0.5,1.5,8.5,-0.279
0.5,1.5,9.0,-0.459
0.5,1.5,9.5,-0.631
0.5,1.5,10.0,-0.752
0.5,1.5,10.5,-0.798
0.5,2.0,0.5,-0.201
0.5,2.0,1.0,0.0
0.5,2.0,1.5,-0.264
0.5,2.0,2.0,0.201
0.5,2.0,2.5,0.086
0.5,2.0,3.0,-0.333
0.5,2.0,3.5,-0.013
0.5,2.0,4.0,0.321
0.5,2.0,4.5,0.206
0.5,2.0,5.0,-0.126
0.5,2.0,5.5,-0.324
0.5,2.0,6.0,-0.268
0.5,2.0,6.5,-0.044
0.5,2.0,7.0,0.191
0.5,2.0,7.5,0.321
0.5,2.0,8.0,0.31
0.5,2.0,8.5,0.186
0.5,2.0,9.0,0.006
0.5,2.0,9.5,-0.166
0.5,2.0,10.0,-0.287
0.5,2.0,10.5,-0.333
0.5,2.5,0.5,-0.316
0.5,2.5,1.0,-0.115
0.5,2.5,1.5,-0.379
0.5,2.5,2.0,0.086
0.5,2.5,2.5,-0.029
0.5,2.5,3.0,-0.448
0.5,2.5,3.5,-0.128
0.5,2.5,4.0,0.206
0.5,2.5,4.5,0.091
0.5,2.5,5.0,-0.241
0.5,2.5,5.5,-0.439
0.5,2.5,6.0,-0.383
0.5,2.5,6.5,-0.159
0.5,2.5,7.0,0.076
0.5,2.5,7.5,0.206
0.5,2.5,8.0,0.195
0.5,2.5,8.5,0.071
0.5,2.5,9.0,-0.109
